# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
     0.71215330  1.69196127e-01  1.82156319e+03  1.95356740e-01
     0.71215330  3.38392254e-01  4.86202748e+02  1.95356740e-01
     0.71215330  5.07588381e-01  3.36274798e+02  1.95356740e-01
     0.71215330  6.76784509e-01  2.29267955e+02  1.95356740e-01
     0.71215330  8.45980636e-01  1.78412030e+02  1.95356740e-01
     0.71215330  1.01517676e+00  1.53381368e+02  1.95356740e-01
     0.71215330  1.18437289e+00  1.36386075e+02  1.95356740e-01
     0.71215330  1.35356902e+00  1.25696332e+02  1.95356740e-01
     0.71215330  1.52276514e+00  1.14732646e+02  1.95356740e-01
     0.71215330  1.69196127e+00  1.07930606e+02  1.95356740e-01
     0.71215330  1.86115740e+00  9.82273580e+01  1.95356740e-01
     0.71215330  2.03035353e+00  9.02594590e+01  1.95356740e-01
     0.71215330  2.19954965e+00  7.95640738e+01  1.95356740e-01
     0.71215330  2.36874578e+00  6.92260152e+01  1.95356740e-01
     0.71215330  2.53794191e+00  6.47023526e+01  1.95356740e-01
     0.71215330  2.70713803e+00  6.10897435e+01  1.95356740e-01
     0.71215330  2.87633416e+00  5.59067823e+01  1.95356740e-01
     0.71215330  3.04553029e+00  5.20405823e+01  1.95356740e-01
     0.71215330  3.21472642e+00  5.02013862e+01  1.95356740e-01
     0.71215330  3.38392254e+00  4.31579052e+01  1.95356740e-01
     0.71215330  3.55311867e+00  4.02082520e+01  1.95356740e-01
     0.71215330  3.72231480e+00  3.84215225e+01  1.95356740e-01
