# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
    78.94842235  3.78999325e+01  1.96798263e+00  1.95356740e-01
    78.94842235  4.06070705e+01  2.27484504e+00  1.95356740e-01
    78.94842235  4.33142085e+01  3.18721212e+00  1.95356740e-01
    78.94842235  4.60213466e+01  1.78432587e+00  1.95356740e-01
    78.94842235  4.87284846e+01  1.27360074e+00  1.95356740e-01
    78.94842235  5.14356227e+01  3.72887527e-01  1.95356740e-01
    78.94842235  5.41427607e+01  1.14168600e+00  1.95356740e-01
    78.94842235  5.68498987e+01  1.18998264e-01  1.95356740e-01
    78.94842235  5.95570368e+01  4.59135954e-01  1.95356740e-01
    78.94842235  6.22641748e+01  2.26684811e-01  1.95356740e-01
    78.94842235  6.49713128e+01  1.53683884e-01  1.95356740e-01
    78.94842235  6.76784509e+01  7.97442913e-02  1.95356740e-01
    78.94842235  7.03855889e+01  1.22023384e-01  1.95356740e-01
    78.94842235  7.30927269e+01  6.72259259e-02  1.95356740e-01
    78.94842235  7.57998650e+01  4.91245864e-02  1.95356740e-01
    78.94842235  7.85070030e+01  7.70428085e-02  1.95356740e-01
    78.94842235  8.12141410e+01  1.19014788e-02  1.95356740e-01
    78.94842235  8.39212791e+01  2.78918253e-02  1.95356740e-01
    78.94842235  8.66284171e+01  5.33974861e-02  1.95356740e-01
    78.94842235  8.93355551e+01  1.74208923e-02  1.95356740e-01
    78.94842235  9.20426932e+01  8.47020173e-03  1.95356740e-01
    78.94842235  9.47498312e+01  1.32811667e-02  1.95356740e-01
    78.94842235  9.74569692e+01  1.93686793e-02  1.95356740e-01
    78.94842235  1.00164107e+02  6.85352574e-03  1.95356740e-01
    78.94842235  1.02871245e+02  1.95136093e-02  1.95356740e-01
    78.94842235  1.05578383e+02  4.61558300e-03  1.95356740e-01
    78.94842235  1.08285521e+02  1.21362523e-02  1.95356740e-01
    78.94842235  1.10992659e+02  1.40298924e-02  1.95356740e-01
    78.94842235  1.13699797e+02  4.49240430e-03  1.95356740e-01
    78.94842235  1.16406935e+02  1.86823462e-02  1.95356740e-01
    78.94842235  1.19114074e+02  4.21707519e-03  1.95356740e-01
    78.94842235  1.21821212e+02  8.51979986e-03  1.95356740e-01
    78.94842235  1.24528350e+02  8.91093866e-03  1.95356740e-01
    78.94842235  1.29942626e+02  8.38312877e-01  1.95356740e-01
    78.94842235  1.40771178e+02  4.71357499e-01  1.95356740e-01
    78.94842235  1.51599730e+02  3.06199192e-01  1.95356740e-01
    78.94842235  1.62428282e+02  2.23513034e-01  1.95356740e-01
    78.94842235  1.73256834e+02  1.38277051e-01  1.95356740e-01
    78.94842235  1.84085386e+02  1.04166178e-01  1.95356740e-01
    78.94842235  1.94913938e+02  7.62603936e-02  1.95356740e-01
    78.94842235  2.05742491e+02  5.19842665e-02  1.95356740e-01
    78.94842235  2.16571043e+02  4.32927558e-02  1.95356740e-01
    78.94842235  2.27399595e+02  2.76096526e-02  1.95356740e-01
    78.94842235  2.38228147e+02  1.13121283e-02  1.95356740e-01
    78.94842235  2.49056699e+02  6.99628041e-03  1.95356740e-01
    78.94842235  2.59885251e+02  1.11212080e-02  1.95356740e-01
    78.94842235  2.70713803e+02  3.43115521e-03  1.95356740e-01
    78.94842235  2.81542356e+02 -4.76870978e-03  1.95356740e-01
    78.94842235  2.92370908e+02 -7.64872901e-03  1.95356740e-01
    78.94842235  3.03199460e+02  6.90964586e-03  1.95356740e-01
    78.94842235  3.14028012e+02  9.16814604e-03  1.95356740e-01
    78.94842235  3.24856564e+02  5.56016585e-03  1.95356740e-01
    78.94842235  3.35685116e+02  1.26819307e-03  1.95356740e-01
    78.94842235  3.46513668e+02 -2.11389449e-03  1.95356740e-01
    78.94842235  3.57342221e+02  3.96828383e-03  1.95356740e-01
    78.94842235  3.68170773e+02 -7.00474634e-04  1.95356740e-01
    78.94842235  3.78999325e+02  2.11593892e-04  1.95356740e-01
    78.94842235  3.89827877e+02 -2.12623785e-04  1.95356740e-01
    78.94842235  4.00656429e+02  2.16287439e-03  1.95356740e-01
    78.94842235  4.11484981e+02 -1.81800732e-03  1.95356740e-01
    78.94842235  4.22313533e+02 -7.73643102e-03  1.95356740e-01
    78.94842235  4.33142085e+02  1.10188784e-03  1.95356740e-01
    78.94842235  4.43970638e+02  1.61382424e-02  1.95356740e-01
    78.94842235  4.54799190e+02  1.53724993e-02  1.95356740e-01
    78.94842235  4.65627742e+02  2.39623122e-03  1.95356740e-01
    78.94842235  4.76456294e+02  9.66388939e-04  1.95356740e-01
    78.94842235  4.87284846e+02  3.74413740e-04  1.95356740e-01
    78.94842235  4.98113398e+02  1.43662823e-03  1.95356740e-01
