# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
    20.07057377  1.69196127e-01  1.12427467e+01  1.95356740e-01
    20.07057377  3.38392254e-01  3.12863572e+00  1.95356740e-01
    20.07057377  5.07588381e-01  1.74574142e+00  1.95356740e-01
    20.07057377  6.76784509e-01  7.44163779e-01  1.95356740e-01
    20.07057377  8.45980636e-01  3.72801785e-01  1.95356740e-01
    20.07057377  1.01517676e+00  1.64935009e-01  1.95356740e-01
    20.07057377  1.18437289e+00  5.89397780e-02  1.95356740e-01
    20.07057377  1.35356902e+00  6.82964917e-03  1.95356740e-01
    20.07057377  1.52276514e+00 -3.78164929e-02  1.95356740e-01
    20.07057377  1.69196127e+00 -8.33843878e-02  1.95356740e-01
    20.07057377  1.86115740e+00 -1.04306092e-01  1.95356740e-01
    20.07057377  2.03035353e+00 -1.22874543e-01  1.95356740e-01
    20.07057377  2.19954965e+00 -1.37960172e-01  1.95356740e-01
    20.07057377  2.36874578e+00 -1.48208357e-01  1.95356740e-01
    20.07057377  2.53794191e+00 -1.52953704e-01  1.95356740e-01
    20.07057377  2.70713803e+00 -1.60020026e-01  1.95356740e-01
    20.07057377  2.87633416e+00 -1.66667739e-01  1.95356740e-01
    20.07057377  3.04553029e+00 -1.68880219e-01  1.95356740e-01
    20.07057377  3.21472642e+00 -1.73183230e-01  1.95356740e-01
    20.07057377  3.38392254e+00 -1.75921004e-01  1.95356740e-01
    20.07057377  3.55311867e+00 -1.79444338e-01  1.95356740e-01
    20.07057377  3.72231480e+00 -1.81046247e-01  1.95356740e-01
    20.07057377  3.89151092e+00 -1.82563692e-01  1.95356740e-01
    20.07057377  4.06070705e+00 -1.83873080e-01  1.95356740e-01
    20.07057377  4.22990318e+00 -1.84993616e-01  1.95356740e-01
    20.07057377  4.39909931e+00 -1.86445879e-01  1.95356740e-01
    20.07057377  4.56829543e+00 -1.87127849e-01  1.95356740e-01
    20.07057377  4.73749156e+00 -1.88131961e-01  1.95356740e-01
    20.07057377  4.90668769e+00 -1.88865751e-01  1.95356740e-01
    20.07057377  5.07588381e+00 -1.89530450e-01  1.95356740e-01
    20.07057377  5.24507994e+00 -1.89961375e-01  1.95356740e-01
    20.07057377  5.41427607e+00 -1.90443334e-01  1.95356740e-01
    20.07057377  5.58347220e+00 -1.90934962e-01  1.95356740e-01
    20.07057377  5.75266832e+00 -1.91106174e-01  1.95356740e-01
    20.07057377  5.92186445e+00 -1.91184709e-01  1.95356740e-01
    20.07057377  6.09106058e+00 -1.91265200e-01  1.95356740e-01
    20.07057377  6.26025670e+00 -1.90930491e-01  1.95356740e-01
    20.07057377  6.42945283e+00 -1.90776683e-01  1.95356740e-01
    20.07057377  6.59864896e+00 -1.90321502e-01  1.95356740e-01
    20.07057377  6.76784509e+00 -1.90006417e-01  1.95356740e-01
    20.07057377  6.93704121e+00 -1.88958015e-01  1.95356740e-01
    20.07057377  7.10623734e+00 -1.88355349e-01  1.95356740e-01
    20.07057377  7.27543347e+00 -1.87306785e-01  1.95356740e-01
    20.07057377  7.44462959e+00 -1.85946808e-01  1.95356740e-01
    20.07057377  7.61382572e+00 -1.83587355e-01  1.95356740e-01
    20.07057377  8.12141410e+00 -1.79082606e-01  1.95356740e-01
    20.07057377  8.79819861e+00 -1.50532866e-01  1.95356740e-01
    20.07057377  9.47498312e+00 -6.72599774e-02  1.95356740e-01
    20.07057377  1.01517676e+01  2.01149362e-01  1.95356740e-01
    20.07057377  1.08285521e+01  9.93811884e-01  1.95356740e-01
    20.07057377  1.15053366e+01  1.24047764e-01  1.95356740e-01
    20.07057377  1.21821212e+01 -9.18702208e-03  1.95356740e-01
    20.07057377  1.28589057e+01 -7.47359799e-02  1.95356740e-01
    20.07057377  1.35356902e+01 -7.93931180e-02  1.95356740e-01
    20.07057377  1.42124747e+01  7.53420742e-02  1.95356740e-01
    20.07057377  1.48892592e+01 -4.55555053e-03  1.95356740e-01
    20.07057377  1.55660437e+01  1.66067922e-01  1.95356740e-01
    20.07057377  1.62428282e+01  7.56611470e-03  1.95356740e-01
    20.07057377  1.69196127e+01 -3.69659620e-03  1.95356740e-01
    20.07057377  1.75963972e+01 -4.33594920e-02  1.95356740e-01
    20.07057377  1.82731817e+01 -3.18595499e-02  1.95356740e-01
    20.07057377  1.89499662e+01 -1.60510644e-02  1.95356740e-01
    20.07057377  1.96267507e+01 -5.17203954e-02  1.95356740e-01
    20.07057377  2.03035353e+01 -3.65795764e-02  1.95356740e-01
    20.07057377  2.09803198e+01 -2.82259566e-02  1.95356740e-01
    20.07057377  2.16571043e+01 -2.17457881e-02  1.95356740e-01
    20.07057377  2.23338888e+01 -1.23492641e-02  1.95356740e-01
    20.07057377  2.30106733e+01  2.93185138e-02  1.95356740e-01
    20.07057377  2.36874578e+01  3.00071127e-02  1.95356740e-01
    20.07057377  2.43642423e+01  4.80087426e-02  1.95356740e-01
    20.07057377  2.50410268e+01  1.29451580e-02  1.95356740e-01
    20.07057377  2.57178113e+01  3.90931939e-02  1.95356740e-01
    20.07057377  2.63945958e+01  1.41008177e-02  1.95356740e-01
    20.07057377  2.70713803e+01  6.70717610e-04  1.95356740e-01
    20.07057377  2.77481649e+01 -1.83497844e-02  1.95356740e-01
    20.07057377  2.84249494e+01 -1.21626457e-02  1.95356740e-01
    20.07057377  2.91017339e+01 -1.19316038e-02  1.95356740e-01
    20.07057377  2.97785184e+01 -1.51869149e-02  1.95356740e-01
    20.07057377  3.04553029e+01 -4.99656415e-03  1.95356740e-01
    20.07057377  3.11320874e+01 -1.61350147e-03  1.95356740e-01
