# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
    10.24975160  1.69196127e-01  4.07358983e+01  1.95356740e-01
    10.24975160  3.38392254e-01  1.10596803e+01  1.95356740e-01
    10.24975160  5.07588381e-01  6.79226426e+00  1.95356740e-01
    10.24975160  6.76784509e-01  3.26318212e+00  1.95356740e-01
    10.24975160  8.45980636e-01  1.87026397e+00  1.95356740e-01
    10.24975160  1.01517676e+00  1.14071949e+00  1.95356740e-01
    10.24975160  1.18437289e+00  7.90006235e-01  1.95356740e-01
    10.24975160  1.35356902e+00  6.01930453e-01  1.95356740e-01
    10.24975160  1.52276514e+00  4.20448833e-01  1.95356740e-01
    10.24975160  1.69196127e+00  2.72037222e-01  1.95356740e-01
    10.24975160  1.86115740e+00  1.83086134e-01  1.95356740e-01
    10.24975160  2.03035353e+00  1.07066513e-01  1.95356740e-01
    10.24975160  2.19954965e+00  4.74684437e-02  1.95356740e-01
    10.24975160  2.36874578e+00  3.19010589e-03  1.95356740e-01
    10.24975160  2.53794191e+00 -1.05542083e-02  1.95356740e-01
    10.24975160  2.70713803e+00 -3.71527275e-02  1.95356740e-01
    10.24975160  2.87633416e+00 -6.62721474e-02  1.95356740e-01
    10.24975160  3.04553029e+00 -7.71635475e-02  1.95356740e-01
    10.24975160  3.21472642e+00 -9.36665805e-02  1.95356740e-01
    10.24975160  3.38392254e+00 -1.03329348e-01  1.95356740e-01
    10.24975160  3.55311867e+00 -1.16099281e-01  1.95356740e-01
    10.24975160  3.72231480e+00 -1.27083329e-01  1.95356740e-01
    10.24975160  3.89151092e+00 -1.33942189e-01  1.95356740e-01
    10.24975160  4.06070705e+00 -1.39052003e-01  1.95356740e-01
    10.24975160  4.22990318e+00 -1.45129419e-01  1.95356740e-01
    10.24975160  4.39909931e+00 -1.50125023e-01  1.95356740e-01
    10.24975160  4.56829543e+00 -1.53933160e-01  1.95356740e-01
    10.24975160  4.73749156e+00 -1.57090952e-01  1.95356740e-01
    10.24975160  4.90668769e+00 -1.60791341e-01  1.95356740e-01
    10.24975160  5.07588381e+00 -1.63030062e-01  1.95356740e-01
    10.24975160  5.24507994e+00 -1.66042036e-01  1.95356740e-01
    10.24975160  5.41427607e+00 -1.67635256e-01  1.95356740e-01
    10.24975160  5.58347220e+00 -1.68677237e-01  1.95356740e-01
    10.24975160  5.75266832e+00 -1.69656596e-01  1.95356740e-01
    10.24975160  5.92186445e+00 -1.69726306e-01  1.95356740e-01
    10.24975160  6.09106058e+00 -1.70851912e-01  1.95356740e-01
    10.24975160  6.26025670e+00 -1.70245459e-01  1.95356740e-01
    10.24975160  6.42945283e+00 -1.69436880e-01  1.95356740e-01
    10.24975160  6.59864896e+00 -1.68108348e-01  1.95356740e-01
    10.24975160  6.76784509e+00 -1.66065528e-01  1.95356740e-01
    10.24975160  6.93704121e+00 -1.62847169e-01  1.95356740e-01
    10.24975160  7.10623734e+00 -1.59252703e-01  1.95356740e-01
    10.24975160  7.27543347e+00 -1.57174178e-01  1.95356740e-01
    10.24975160  7.44462959e+00 -1.49189099e-01  1.95356740e-01
    10.24975160  7.61382572e+00 -1.41973348e-01  1.95356740e-01
    10.24975160  8.12141410e+00 -1.07450554e-01  1.95356740e-01
    10.24975160  8.79819861e+00 -5.79431327e-02  1.95356740e-01
    10.24975160  9.47498312e+00  2.07822358e-02  1.95356740e-01
    10.24975160  1.01517676e+01  4.83668100e-02  1.95356740e-01
    10.24975160  1.08285521e+01  1.53738729e-02  1.95356740e-01
    10.24975160  1.15053366e+01  2.89410362e-02  1.95356740e-01
    10.24975160  1.21821212e+01  2.13650580e-02  1.95356740e-01
    10.24975160  1.28589057e+01  5.43906625e-03  1.95356740e-01
    10.24975160  1.35356902e+01  1.16852011e-02  1.95356740e-01
    10.24975160  1.42124747e+01  3.16374561e-02  1.95356740e-01
    10.24975160  1.48892592e+01 -6.18746055e-03  1.95356740e-01
    10.24975160  1.55660437e+01  2.40286125e-02  1.95356740e-01
    10.24975160  1.62428282e+01  3.39737991e-03  1.95356740e-01
    10.24975160  1.69196127e+01 -4.40564299e-03  1.95356740e-01
    10.24975160  1.75963972e+01  3.67825810e-04  1.95356740e-01
    10.24975160  1.82731817e+01 -9.16403036e-03  1.95356740e-01
    10.24975160  1.89499662e+01 -9.98554298e-03  1.95356740e-01
    10.24975160  1.96267507e+01 -5.60435178e-03  1.95356740e-01
    10.24975160  2.03035353e+01 -3.38648041e-03  1.95356740e-01
    10.24975160  2.09803198e+01 -9.74555537e-04  1.95356740e-01
    10.24975160  2.16571043e+01  9.29217793e-04  1.95356740e-01
    10.24975160  2.23338888e+01  5.90197665e-04  1.95356740e-01
    10.24975160  2.30106733e+01  7.30436800e-03  1.95356740e-01
    10.24975160  2.36874578e+01  1.28818337e-03  1.95356740e-01
    10.24975160  2.43642423e+01  1.81415412e-03  1.95356740e-01
    10.24975160  2.50410268e+01 -2.37973791e-04  1.95356740e-01
    10.24975160  2.57178113e+01  2.84029873e-03  1.95356740e-01
    10.24975160  2.63945958e+01 -2.87867621e-05  1.95356740e-01
    10.24975160  2.70713803e+01  1.74824184e-03  1.95356740e-01
    10.24975160  2.77481649e+01  3.95813788e-03  1.95356740e-01
    10.24975160  2.84249494e+01  2.91412155e-04  1.95356740e-01
    10.24975160  2.91017339e+01  1.21395127e-04  1.95356740e-01
    10.24975160  2.97785184e+01  1.24036054e-03  1.95356740e-01
    10.24975160  3.04553029e+01  2.14119467e-03  1.95356740e-01
    10.24975160  3.11320874e+01  1.29718568e-03  1.95356740e-01
    10.24975160  3.24856564e+01  5.61591385e-03  1.95356740e-01
    10.24975160  3.51927944e+01 -2.96182577e-03  1.95356740e-01
    10.24975160  3.78999325e+01  1.24285391e-03  1.95356740e-01
    10.24975160  4.06070705e+01  4.98110862e-03  1.95356740e-01
    10.24975160  4.33142085e+01  1.34426890e-02  1.95356740e-01
    10.24975160  4.60213466e+01  3.26859009e-03  1.95356740e-01
    10.24975160  4.87284846e+01  2.31909087e-03  1.95356740e-01
    10.24975160  5.14356227e+01  1.98502699e-03  1.95356740e-01
    10.24975160  5.41427607e+01 -2.68644748e-03  1.95356740e-01
    10.24975160  5.68498987e+01 -1.05926037e-03  1.95356740e-01
    10.24975160  5.95570368e+01  3.61675636e-03  1.95356740e-01
    10.24975160  6.22641748e+01  6.50254441e-03  1.95356740e-01
    10.24975160  6.49713128e+01  7.15520291e-03  1.95356740e-01
    10.24975160  6.76784509e+01  5.03442604e-03  1.95356740e-01
    10.24975160  7.03855889e+01 -1.07638524e-03  1.95356740e-01
    10.24975160  7.30927269e+01  1.40357822e-03  1.95356740e-01
    10.24975160  7.57998650e+01 -7.13830924e-03  1.95356740e-01
    10.24975160  7.85070030e+01 -2.24032420e-03  1.95356740e-01
    10.24975160  8.12141410e+01 -4.92070321e-03  1.95356740e-01
    10.24975160  8.39212791e+01  6.00363184e-04  1.95356740e-01
    10.24975160  8.66284171e+01 -5.06354623e-03  1.95356740e-01
    10.24975160  8.93355551e+01  1.06442686e-03  1.95356740e-01
    10.24975160  9.20426932e+01 -2.49512113e-04  1.95356740e-01
    10.24975160  9.47498312e+01 -1.72421938e-03  1.95356740e-01
    10.24975160  9.74569692e+01  1.02759816e-03  1.95356740e-01
    10.24975160  1.00164107e+02  3.48994855e-03  1.95356740e-01
    10.24975160  1.02871245e+02  1.95890745e-03  1.95356740e-01
    10.24975160  1.05578383e+02  7.66609344e-05  1.95356740e-01
    10.24975160  1.08285521e+02  7.23427798e-04  1.95356740e-01
    10.24975160  1.10992659e+02 -6.87194523e-04  1.95356740e-01
    10.24975160  1.13699797e+02 -1.46750355e-03  1.95356740e-01
    10.24975160  1.16406935e+02  1.46975611e-03  1.95356740e-01
    10.24975160  1.19114074e+02 -1.07922703e-03  1.95356740e-01
    10.24975160  1.21821212e+02  7.38138522e-04  1.95356740e-01
    10.24975160  1.24528350e+02  7.66355734e-04  1.95356740e-01
    10.24975160  1.29942626e+02  3.54271840e-03  1.95356740e-01
    10.24975160  1.40771178e+02  1.20329682e-04  1.95356740e-01
    10.24975160  1.51599730e+02  4.88498266e-03  1.95356740e-01
    10.24975160  1.62428282e+02  4.15725448e-03  1.95356740e-01
    10.24975160  1.73256834e+02 -8.24509678e-03  1.95356740e-01
    10.24975160  1.84085386e+02 -2.16323082e-03  1.95356740e-01
    10.24975160  1.94913938e+02  2.53698409e-03  1.95356740e-01
    10.24975160  2.05742491e+02  2.29996613e-03  1.95356740e-01
    10.24975160  2.16571043e+02  2.00787200e-03  1.95356740e-01
