# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
    85.47221361  1.69196127e-01  4.71095232e-01  1.95356740e-01
    85.47221361  3.38392254e-01  8.92898403e-03  1.95356740e-01
    85.47221361  5.07588381e-01 -8.14081731e-02  1.95356740e-01
    85.47221361  6.76784509e-01 -1.40990045e-01  1.95356740e-01
    85.47221361  8.45980636e-01 -1.61375285e-01  1.95356740e-01
    85.47221361  1.01517676e+00 -1.73724647e-01  1.95356740e-01
    85.47221361  1.18437289e+00 -1.80746661e-01  1.95356740e-01
    85.47221361  1.35356902e+00 -1.83844201e-01  1.95356740e-01
    85.47221361  1.52276514e+00 -1.86268352e-01  1.95356740e-01
    85.47221361  1.69196127e+00 -1.88990464e-01  1.95356740e-01
    85.47221361  1.86115740e+00 -1.90142763e-01  1.95356740e-01
    85.47221361  2.03035353e+00 -1.91182904e-01  1.95356740e-01
    85.47221361  2.19954965e+00 -1.91995948e-01  1.95356740e-01
    85.47221361  2.36874578e+00 -1.92511537e-01  1.95356740e-01
    85.47221361  2.53794191e+00 -1.92948704e-01  1.95356740e-01
    85.47221361  2.70713803e+00 -1.93263226e-01  1.95356740e-01
    85.47221361  2.87633416e+00 -1.93657527e-01  1.95356740e-01
    85.47221361  3.04553029e+00 -1.93800338e-01  1.95356740e-01
    85.47221361  3.21472642e+00 -1.94023088e-01  1.95356740e-01
    85.47221361  3.38392254e+00 -1.94221157e-01  1.95356740e-01
    85.47221361  3.55311867e+00 -1.94396687e-01  1.95356740e-01
    85.47221361  3.72231480e+00 -1.94471143e-01  1.95356740e-01
    85.47221361  3.89151092e+00 -1.94555460e-01  1.95356740e-01
    85.47221361  4.06070705e+00 -1.94650049e-01  1.95356740e-01
    85.47221361  4.22990318e+00 -1.94706726e-01  1.95356740e-01
    85.47221361  4.39909931e+00 -1.94799444e-01  1.95356740e-01
    85.47221361  4.56829543e+00 -1.94835610e-01  1.95356740e-01
    85.47221361  4.73749156e+00 -1.94890049e-01  1.95356740e-01
    85.47221361  4.90668769e+00 -1.94931890e-01  1.95356740e-01
    85.47221361  5.07588381e+00 -1.94972988e-01  1.95356740e-01
    85.47221361  5.24507994e+00 -1.94997915e-01  1.95356740e-01
    85.47221361  5.41427607e+00 -1.95049032e-01  1.95356740e-01
    85.47221361  5.58347220e+00 -1.95080956e-01  1.95356740e-01
    85.47221361  5.75266832e+00 -1.95094884e-01  1.95356740e-01
    85.47221361  5.92186445e+00 -1.95112038e-01  1.95356740e-01
    85.47221361  6.09106058e+00 -1.95120343e-01  1.95356740e-01
    85.47221361  6.26025670e+00 -1.95119846e-01  1.95356740e-01
    85.47221361  6.42945283e+00 -1.95123115e-01  1.95356740e-01
    85.47221361  6.59864896e+00 -1.95119715e-01  1.95356740e-01
    85.47221361  6.76784509e+00 -1.95102290e-01  1.95356740e-01
    85.47221361  6.93704121e+00 -1.95092991e-01  1.95356740e-01
    85.47221361  7.10623734e+00 -1.95069022e-01  1.95356740e-01
    85.47221361  7.27543347e+00 -1.95049666e-01  1.95356740e-01
    85.47221361  7.44462959e+00 -1.94991823e-01  1.95356740e-01
    85.47221361  7.61382572e+00 -1.94969043e-01  1.95356740e-01
    85.47221361  8.12141410e+00 -1.94478874e-01  1.95356740e-01
    85.47221361  8.79819861e+00 -1.93535992e-01  1.95356740e-01
    85.47221361  9.47498312e+00 -1.89928311e-01  1.95356740e-01
    85.47221361  1.01517676e+01 -1.11109262e-01  1.95356740e-01
    85.47221361  1.08285521e+01  5.87706993e+01  1.95356740e-01
    85.47221361  1.15053366e+01 -1.57564044e-01  1.95356740e-01
    85.47221361  1.21821212e+01 -1.84602387e-01  1.95356740e-01
    85.47221361  1.28589057e+01 -1.89544706e-01  1.95356740e-01
    85.47221361  1.35356902e+01 -1.90678792e-01  1.95356740e-01
    85.47221361  1.42124747e+01 -1.56166414e-01  1.95356740e-01
    85.47221361  1.48892592e+01 -1.02441305e-01  1.95356740e-01
    85.47221361  1.55660437e+01  3.75870270e+01  1.95356740e-01
    85.47221361  1.62428282e+01 -1.57498004e-01  1.95356740e-01
    85.47221361  1.69196127e+01 -1.76612167e-01  1.95356740e-01
    85.47221361  1.75963972e+01 -1.81704275e-01  1.95356740e-01
    85.47221361  1.82731817e+01 -1.31714292e-01  1.95356740e-01
    85.47221361  1.89499662e+01  1.02879223e+01  1.95356740e-01
    85.47221361  1.96267507e+01 -1.58156632e-01  1.95356740e-01
    85.47221361  2.03035353e+01 -1.78033649e-01  1.95356740e-01
    85.47221361  2.09803198e+01 -1.18816031e-01  1.95356740e-01
    85.47221361  2.16571043e+01  3.88474434e+00  1.95356740e-01
    85.47221361  2.23338888e+01 -1.50137528e-01  1.95356740e-01
    85.47221361  2.30106733e+01 -1.16796368e-01  1.95356740e-01
    85.47221361  2.36874578e+01 -9.63436773e-03  1.95356740e-01
    85.47221361  2.43642423e+01  7.37268007e+00  1.95356740e-01
    85.47221361  2.50410268e+01 -6.65255153e-02  1.95356740e-01
    85.47221361  2.57178113e+01 -1.22093367e-02  1.95356740e-01
    85.47221361  2.63945958e+01  3.86932531e+00  1.95356740e-01
    85.47221361  2.70713803e+01 -6.40383005e-02  1.95356740e-01
    85.47221361  2.77481649e+01 -1.51459966e-01  1.95356740e-01
    85.47221361  2.84249494e+01 -1.68012985e-01  1.95356740e-01
    85.47221361  2.91017339e+01 -1.71747203e-01  1.95356740e-01
    85.47221361  2.97785184e+01 -1.59453936e-01  1.95356740e-01
    85.47221361  3.04553029e+01  3.72139741e-01  1.95356740e-01
    85.47221361  3.11320874e+01 -1.09389239e-01  1.95356740e-01
    85.47221361  3.24856564e+01  1.40243645e+01  1.95356740e-01
    85.47221361  3.51927944e+01  1.61573926e+01  1.95356740e-01
    85.47221361  3.78999325e+01  2.61979990e+00  1.95356740e-01
    85.47221361  4.06070705e+01  2.89311821e+00  1.95356740e-01
    85.47221361  4.33142085e+01  4.63103783e+00  1.95356740e-01
    85.47221361  4.60213466e+01  2.51637544e+00  1.95356740e-01
    85.47221361  4.87284846e+01  1.93462101e+00  1.95356740e-01
    85.47221361  5.14356227e+01  4.85473588e-01  1.95356740e-01
    85.47221361  5.41427607e+01  1.92547429e+00  1.95356740e-01
    85.47221361  5.68498987e+01  2.77922076e-01  1.95356740e-01
    85.47221361  5.95570368e+01  8.29875323e-01  1.95356740e-01
    85.47221361  6.22641748e+01  4.50044873e-01  1.95356740e-01
    85.47221361  6.49713128e+01  2.97925520e-01  1.95356740e-01
    85.47221361  6.76784509e+01  1.46097441e-01  1.95356740e-01
    85.47221361  7.03855889e+01  2.19197021e-01  1.95356740e-01
    85.47221361  7.30927269e+01  1.17669225e-01  1.95356740e-01
    85.47221361  7.57998650e+01  8.86611065e-02  1.95356740e-01
    85.47221361  7.85070030e+01  1.12940181e-01  1.95356740e-01
    85.47221361  8.12141410e+01  2.52230246e-02  1.95356740e-01
    85.47221361  8.39212791e+01  4.00057388e-02  1.95356740e-01
    85.47221361  8.66284171e+01  6.82103771e-02  1.95356740e-01
    85.47221361  8.93355551e+01  2.32327457e-02  1.95356740e-01
    85.47221361  9.20426932e+01  8.01340008e-03  1.95356740e-01
    85.47221361  9.47498312e+01  1.44014363e-02  1.95356740e-01
    85.47221361  9.74569692e+01  3.17140333e-02  1.95356740e-01
    85.47221361  1.00164107e+02  9.07290191e-03  1.95356740e-01
    85.47221361  1.02871245e+02  2.93134784e-02  1.95356740e-01
    85.47221361  1.05578383e+02  3.41762887e-03  1.95356740e-01
    85.47221361  1.08285521e+02  2.56281182e-02  1.95356740e-01
    85.47221361  1.10992659e+02  1.62077600e-02  1.95356740e-01
    85.47221361  1.13699797e+02 -2.01248222e-04  1.95356740e-01
    85.47221361  1.16406935e+02  2.57093078e-02  1.95356740e-01
    85.47221361  1.19114074e+02  1.86464387e-03  1.95356740e-01
    85.47221361  1.21821212e+02  1.24257616e-02  1.95356740e-01
    85.47221361  1.24528350e+02  1.76717955e-02  1.95356740e-01
    85.47221361  1.29942626e+02  1.17992222e+00  1.95356740e-01
    85.47221361  1.40771178e+02  8.31313736e-01  1.95356740e-01
    85.47221361  1.51599730e+02  4.72132766e-01  1.95356740e-01
    85.47221361  1.62428282e+02  3.11846896e-01  1.95356740e-01
    85.47221361  1.73256834e+02  2.43341568e-01  1.95356740e-01
    85.47221361  1.84085386e+02  1.56745263e-01  1.95356740e-01
    85.47221361  1.94913938e+02  1.10096001e-01  1.95356740e-01
    85.47221361  2.05742491e+02  8.72156303e-02  1.95356740e-01
    85.47221361  2.16571043e+02  5.76053041e-02  1.95356740e-01
    85.47221361  2.27399595e+02  5.30675149e-02  1.95356740e-01
    85.47221361  2.38228147e+02  3.53893708e-02  1.95356740e-01
    85.47221361  2.49056699e+02  2.12355839e-02  1.95356740e-01
    85.47221361  2.59885251e+02  1.11832621e-02  1.95356740e-01
    85.47221361  2.70713803e+02  5.09774513e-03  1.95356740e-01
    85.47221361  2.81542356e+02  9.69961797e-03  1.95356740e-01
    85.47221361  2.92370908e+02  5.69827888e-03  1.95356740e-01
    85.47221361  3.03199460e+02 -4.91718295e-03  1.95356740e-01
    85.47221361  3.14028012e+02 -8.38731599e-03  1.95356740e-01
    85.47221361  3.24856564e+02  9.99862149e-04  1.95356740e-01
    85.47221361  3.35685116e+02  1.10247555e-02  1.95356740e-01
    85.47221361  3.46513668e+02  7.66847863e-03  1.95356740e-01
    85.47221361  3.57342221e+02  3.72050585e-03  1.95356740e-01
    85.47221361  3.68170773e+02 -9.41653796e-04  1.95356740e-01
    85.47221361  3.78999325e+02 -7.85345939e-04  1.95356740e-01
    85.47221361  3.89827877e+02  2.22852013e-03  1.95356740e-01
    85.47221361  4.00656429e+02 -6.38934170e-04  1.95356740e-01
    85.47221361  4.11484981e+02 -2.08425719e-04  1.95356740e-01
    85.47221361  4.22313533e+02  1.18809711e-03  1.95356740e-01
    85.47221361  4.33142085e+02  4.96280399e-03  1.95356740e-01
    85.47221361  4.43970638e+02 -5.61000272e-04  1.95356740e-01
    85.47221361  4.54799190e+02 -8.91752408e-03  1.95356740e-01
    85.47221361  4.65627742e+02 -3.04207221e-04  1.95356740e-01
    85.47221361  4.76456294e+02  1.21886582e-02  1.95356740e-01
    85.47221361  4.87284846e+02  1.94399012e-02  1.95356740e-01
    85.47221361  4.98113398e+02  9.49666949e-03  1.95356740e-01
