# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
     4.55319374  1.69196127e-01  1.74425177e+02  1.95356740e-01
     4.55319374  3.38392254e-01  4.27187607e+01  1.95356740e-01
     4.55319374  5.07588381e-01  3.06760243e+01  1.95356740e-01
     4.55319374  6.76784509e-01  1.59691727e+01  1.95356740e-01
     4.55319374  8.45980636e-01  1.00429240e+01  1.95356740e-01
     4.55319374  1.01517676e+00  7.08914806e+00  1.95356740e-01
     4.55319374  1.18437289e+00  5.21071946e+00  1.95356740e-01
     4.55319374  1.35356902e+00  4.35367318e+00  1.95356740e-01
     4.55319374  1.52276514e+00  3.58146192e+00  1.95356740e-01
     4.55319374  1.69196127e+00  2.82827610e+00  1.95356740e-01
     4.55319374  1.86115740e+00  2.44522767e+00  1.95356740e-01
     4.55319374  2.03035353e+00  2.11732144e+00  1.95356740e-01
     4.55319374  2.19954965e+00  1.85486680e+00  1.95356740e-01
     4.55319374  2.36874578e+00  1.55498490e+00  1.95356740e-01
     4.55319374  2.53794191e+00  1.33247098e+00  1.95356740e-01
     4.55319374  2.70713803e+00  1.23249603e+00  1.95356740e-01
     4.55319374  2.87633416e+00  1.06284233e+00  1.95356740e-01
     4.55319374  3.04553029e+00  1.01138948e+00  1.95356740e-01
     4.55319374  3.21472642e+00  9.20694485e-01  1.95356740e-01
     4.55319374  3.38392254e+00  8.24992441e-01  1.95356740e-01
     4.55319374  3.55311867e+00  7.90176669e-01  1.95356740e-01
     4.55319374  3.72231480e+00  7.00579817e-01  1.95356740e-01
     4.55319374  3.89151092e+00  6.59325066e-01  1.95356740e-01
     4.55319374  4.06070705e+00  6.19609197e-01  1.95356740e-01
     4.55319374  4.22990318e+00  5.61420179e-01  1.95356740e-01
     4.55319374  4.39909931e+00  5.22913247e-01  1.95356740e-01
     4.55319374  4.56829543e+00  4.82718369e-01  1.95356740e-01
     4.55319374  4.73749156e+00  4.52396189e-01  1.95356740e-01
     4.55319374  4.90668769e+00  4.21171313e-01  1.95356740e-01
     4.55319374  5.07588381e+00  3.85250335e-01  1.95356740e-01
     4.55319374  5.24507994e+00  3.73736841e-01  1.95356740e-01
     4.55319374  5.41427607e+00  3.54194551e-01  1.95356740e-01
     4.55319374  5.58347220e+00  3.42635391e-01  1.95356740e-01
     4.55319374  5.75266832e+00  3.30794006e-01  1.95356740e-01
     4.55319374  5.92186445e+00  3.12747836e-01  1.95356740e-01
     4.55319374  6.09106058e+00  3.00676256e-01  1.95356740e-01
     4.55319374  6.26025670e+00  2.89274545e-01  1.95356740e-01
     4.55319374  6.42945283e+00  2.90704029e-01  1.95356740e-01
     4.55319374  6.59864896e+00  2.76786535e-01  1.95356740e-01
     4.55319374  6.76784509e+00  2.73255485e-01  1.95356740e-01
     4.55319374  6.93704121e+00  2.62581594e-01  1.95356740e-01
     4.55319374  7.10623734e+00  2.58520609e-01  1.95356740e-01
     4.55319374  7.27543347e+00  2.68025508e-01  1.95356740e-01
     4.55319374  7.44462959e+00  2.63418600e-01  1.95356740e-01
     4.55319374  7.61382572e+00  2.48063358e-01  1.95356740e-01
     4.55319374  8.12141410e+00  2.22561086e-01  1.95356740e-01
     4.55319374  8.79819861e+00  2.22093957e-01  1.95356740e-01
     4.55319374  9.47498312e+00  2.13731176e-01  1.95356740e-01
     4.55319374  1.01517676e+01  1.94438066e-01  1.95356740e-01
     4.55319374  1.08285521e+01  1.64538713e-01  1.95356740e-01
     4.55319374  1.15053366e+01  1.52306875e-01  1.95356740e-01
     4.55319374  1.21821212e+01  1.40842617e-01  1.95356740e-01
     4.55319374  1.28589057e+01  1.49058913e-01  1.95356740e-01
     4.55319374  1.35356902e+01  1.16476142e-01  1.95356740e-01
     4.55319374  1.42124747e+01  1.01606724e-01  1.95356740e-01
     4.55319374  1.48892592e+01  8.54450664e-02  1.95356740e-01
     4.55319374  1.55660437e+01  9.17105045e-02  1.95356740e-01
     4.55319374  1.62428282e+01  8.01998851e-02  1.95356740e-01
     4.55319374  1.69196127e+01  7.29178636e-02  1.95356740e-01
     4.55319374  1.75963972e+01  6.65856120e-02  1.95356740e-01
     4.55319374  1.82731817e+01  5.60485561e-02  1.95356740e-01
     4.55319374  1.89499662e+01  5.85289338e-02  1.95356740e-01
     4.55319374  1.96267507e+01  5.63571733e-02  1.95356740e-01
     4.55319374  2.03035353e+01  4.80887262e-02  1.95356740e-01
     4.55319374  2.09803198e+01  4.27720304e-02  1.95356740e-01
     4.55319374  2.16571043e+01  3.39526078e-02  1.95356740e-01
     4.55319374  2.23338888e+01  3.93363579e-02  1.95356740e-01
     4.55319374  2.30106733e+01  3.90159200e-02  1.95356740e-01
     4.55319374  2.36874578e+01  3.01760551e-02  1.95356740e-01
     4.55319374  2.43642423e+01  3.04893971e-02  1.95356740e-01
     4.55319374  2.50410268e+01  2.85081213e-02  1.95356740e-01
     4.55319374  2.57178113e+01  2.27626721e-02  1.95356740e-01
     4.55319374  2.63945958e+01  2.63371150e-02  1.95356740e-01
     4.55319374  2.70713803e+01  1.86653187e-02  1.95356740e-01
     4.55319374  2.77481649e+01  2.23732177e-02  1.95356740e-01
     4.55319374  2.84249494e+01  1.80461519e-02  1.95356740e-01
     4.55319374  2.91017339e+01  1.77054665e-02  1.95356740e-01
     4.55319374  2.97785184e+01  1.74239106e-02  1.95356740e-01
     4.55319374  3.04553029e+01  1.56016635e-02  1.95356740e-01
     4.55319374  3.11320874e+01  1.86817064e-02  1.95356740e-01
     4.55319374  3.24856564e+01  2.10703861e-02  1.95356740e-01
     4.55319374  3.51927944e+01  1.80647057e-02  1.95356740e-01
     4.55319374  3.78999325e+01  1.31794242e-02  1.95356740e-01
     4.55319374  4.06070705e+01  1.34451334e-03  1.95356740e-01
     4.55319374  4.33142085e+01  1.64853423e-03  1.95356740e-01
     4.55319374  4.60213466e+01  8.83100620e-04  1.95356740e-01
     4.55319374  4.87284846e+01  9.78583234e-03  1.95356740e-01
     4.55319374  5.14356227e+01  1.11702169e-02  1.95356740e-01
     4.55319374  5.41427607e+01  7.07986560e-03  1.95356740e-01
     4.55319374  5.68498987e+01 -1.84128379e-03  1.95356740e-01
     4.55319374  5.95570368e+01  3.33230415e-03  1.95356740e-01
     4.55319374  6.22641748e+01  5.08437722e-03  1.95356740e-01
     4.55319374  6.49713128e+01  2.81912706e-03  1.95356740e-01
