# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
     7.89084210  1.69196127e-01  6.60515883e+01  1.95356740e-01
     7.89084210  3.38392254e-01  1.74695000e+01  1.95356740e-01
     7.89084210  5.07588381e-01  1.12009266e+01  1.95356740e-01
     7.89084210  6.76784509e-01  5.52684565e+00  1.95356740e-01
     7.89084210  8.45980636e-01  3.24046340e+00  1.95356740e-01
     7.89084210  1.01517676e+00  2.07408968e+00  1.95356740e-01
     7.89084210  1.18437289e+00  1.49581821e+00  1.95356740e-01
     7.89084210  1.35356902e+00  1.19841643e+00  1.95356740e-01
     7.89084210  1.52276514e+00  8.81277345e-01  1.95356740e-01
     7.89084210  1.69196127e+00  6.53879273e-01  1.95356740e-01
     7.89084210  1.86115740e+00  4.97921583e-01  1.95356740e-01
     7.89084210  2.03035353e+00  3.71498465e-01  1.95356740e-01
     7.89084210  2.19954965e+00  2.66634474e-01  1.95356740e-01
     7.89084210  2.36874578e+00  1.81874054e-01  1.95356740e-01
     7.89084210  2.53794191e+00  1.56490390e-01  1.95356740e-01
     7.89084210  2.70713803e+00  1.16445741e-01  1.95356740e-01
     7.89084210  2.87633416e+00  6.49607784e-02  1.95356740e-01
     7.89084210  3.04553029e+00  4.40475877e-02  1.95356740e-01
     7.89084210  3.21472642e+00  1.32760849e-02  1.95356740e-01
     7.89084210  3.38392254e+00 -3.37586440e-03  1.95356740e-01
     7.89084210  3.55311867e+00 -2.59166076e-02  1.95356740e-01
