# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
     3.38876968  1.69196127e-01  2.83879060e+02  1.95356740e-01
     3.38876968  3.38392254e-01  6.64153243e+01  1.95356740e-01
     3.38876968  5.07588381e-01  5.08336117e+01  1.95356740e-01
     3.38876968  6.76784509e-01  2.73498983e+01  1.95356740e-01
     3.38876968  8.45980636e-01  1.82839793e+01  1.95356740e-01
     3.38876968  1.01517676e+00  1.34957940e+01  1.95356740e-01
     3.38876968  1.18437289e+00  1.01900336e+01  1.95356740e-01
     3.38876968  1.35356902e+00  8.16456414e+00  1.95356740e-01
     3.38876968  1.52276514e+00  7.35988928e+00  1.95356740e-01
     3.38876968  1.69196127e+00  5.77860558e+00  1.95356740e-01
     3.38876968  1.86115740e+00  5.26407478e+00  1.95356740e-01
     3.38876968  2.03035353e+00  4.53612683e+00  1.95356740e-01
     3.38876968  2.19954965e+00  4.18254696e+00  1.95356740e-01
     3.38876968  2.36874578e+00  3.78532911e+00  1.95356740e-01
     3.38876968  2.53794191e+00  3.35768939e+00  1.95356740e-01
     3.38876968  2.70713803e+00  2.99177684e+00  1.95356740e-01
     3.38876968  2.87633416e+00  2.73701646e+00  1.95356740e-01
     3.38876968  3.04553029e+00  2.50739484e+00  1.95356740e-01
     3.38876968  3.21472642e+00  2.33523878e+00  1.95356740e-01
     3.38876968  3.38392254e+00  2.11769585e+00  1.95356740e-01
     3.38876968  3.55311867e+00  2.10006408e+00  1.95356740e-01
     3.38876968  3.72231480e+00  1.93601485e+00  1.95356740e-01
     3.38876968  3.89151092e+00  1.80160742e+00  1.95356740e-01
     3.38876968  4.06070705e+00  1.64697564e+00  1.95356740e-01
     3.38876968  4.22990318e+00  1.55012625e+00  1.95356740e-01
     3.38876968  4.39909931e+00  1.51432069e+00  1.95356740e-01
     3.38876968  4.56829543e+00  1.41374876e+00  1.95356740e-01
     3.38876968  4.73749156e+00  1.37360488e+00  1.95356740e-01
     3.38876968  4.90668769e+00  1.29349623e+00  1.95356740e-01
     3.38876968  5.07588381e+00  1.27947193e+00  1.95356740e-01
     3.38876968  5.24507994e+00  1.20806559e+00  1.95356740e-01
     3.38876968  5.41427607e+00  1.10630715e+00  1.95356740e-01
     3.38876968  5.58347220e+00  1.09772975e+00  1.95356740e-01
     3.38876968  5.75266832e+00  1.03070716e+00  1.95356740e-01
     3.38876968  5.92186445e+00  9.87763310e-01  1.95356740e-01
     3.38876968  6.09106058e+00  9.48809302e-01  1.95356740e-01
     3.38876968  6.26025670e+00  9.19252428e-01  1.95356740e-01
     3.38876968  6.42945283e+00  9.14270129e-01  1.95356740e-01
     3.38876968  6.59864896e+00  8.66117012e-01  1.95356740e-01
