# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
    18.48092989  1.69196127e-01  1.32109340e+01  1.95356740e-01
    18.48092989  3.38392254e-01  3.68029259e+00  1.95356740e-01
    18.48092989  5.07588381e-01  2.07981217e+00  1.95356740e-01
    18.48092989  6.76784509e-01  9.07859947e-01  1.95356740e-01
    18.48092989  8.45980636e-01  4.70243689e-01  1.95356740e-01
    18.48092989  1.01517676e+00  2.27061908e-01  1.95356740e-01
    18.48092989  1.18437289e+00  1.04311670e-01  1.95356740e-01
    18.48092989  1.35356902e+00  4.30967040e-02  1.95356740e-01
    18.48092989  1.52276514e+00 -9.75304015e-03  1.95356740e-01
    18.48092989  1.69196127e+00 -6.28390499e-02  1.95356740e-01
    18.48092989  1.86115740e+00 -8.76949999e-02  1.95356740e-01
    18.48092989  2.03035353e+00 -1.09733721e-01  1.95356740e-01
    18.48092989  2.19954965e+00 -1.27520606e-01  1.95356740e-01
    18.48092989  2.36874578e+00 -1.39718992e-01  1.95356740e-01
    18.48092989  2.53794191e+00 -1.45084155e-01  1.95356740e-01
    18.48092989  2.70713803e+00 -1.53460755e-01  1.95356740e-01
    18.48092989  2.87633416e+00 -1.61378695e-01  1.95356740e-01
    18.48092989  3.04553029e+00 -1.63984792e-01  1.95356740e-01
    18.48092989  3.21472642e+00 -1.69065767e-01  1.95356740e-01
    18.48092989  3.38392254e+00 -1.72214809e-01  1.95356740e-01
    18.48092989  3.55311867e+00 -1.76382526e-01  1.95356740e-01
    18.48092989  3.72231480e+00 -1.78401529e-01  1.95356740e-01
    18.48092989  3.89151092e+00 -1.80201998e-01  1.95356740e-01
    18.48092989  4.06070705e+00 -1.81699541e-01  1.95356740e-01
    18.48092989  4.22990318e+00 -1.83053612e-01  1.95356740e-01
    18.48092989  4.39909931e+00 -1.84747210e-01  1.95356740e-01
    18.48092989  4.56829543e+00 -1.85586764e-01  1.95356740e-01
    18.48092989  4.73749156e+00 -1.86719743e-01  1.95356740e-01
    18.48092989  4.90668769e+00 -1.87614676e-01  1.95356740e-01
    18.48092989  5.07588381e+00 -1.88436502e-01  1.95356740e-01
    18.48092989  5.24507994e+00 -1.88925639e-01  1.95356740e-01
    18.48092989  5.41427607e+00 -1.89459471e-01  1.95356740e-01
    18.48092989  5.58347220e+00 -1.90004793e-01  1.95356740e-01
    18.48092989  5.75266832e+00 -1.90234023e-01  1.95356740e-01
    18.48092989  5.92186445e+00 -1.90316629e-01  1.95356740e-01
    18.48092989  6.09106058e+00 -1.90445043e-01  1.95356740e-01
    18.48092989  6.26025670e+00 -1.90004559e-01  1.95356740e-01
    18.48092989  6.42945283e+00 -1.89830731e-01  1.95356740e-01
