# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
53.0103
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 1.71533
0.338392 0.519586
0.507588 0.292438
0.676785 0.139944
0.845981 0.0867744
1.01518 0.0551023
1.18437 0.0375214
1.35357 0.0296491
1.52277 0.0233393
1.69196 0.0163248
1.86116 0.0133693
2.03035 0.0107079
2.19955 0.00855789
2.36875 0.00719733
2.53794 0.00617131
2.70714 0.00529982
2.87633 0.00431306
3.04553 0.00395966
3.21473 0.00336654
3.38392 0.00287377
3.55312 0.00240125
3.72231 0.00222297
3.89151 0.00199981
4.06071 0.00177584
4.2299 0.00161291
4.3991 0.00138865
4.5683 0.00129704
4.73749 0.0011454
4.90669 0.00104325
5.07588 0.00094773
5.24508 0.000878717
5.41428 0.000753274
5.58347 0.000674183
5.75267 0.000648183
5.92186 0.000620767
6.09106 0.000609809
6.26026 0.000635557
6.42945 0.000645228
6.59865 0.000685168
6.76785 0.000756747
6.93704 0.000812656
7.10624 0.000910619
7.27543 0.00101079
7.44463 0.00123541
7.61383 0.00133565
7.78302 0.00168997
7.95222 0.00209207
8.12141 0.00260829
8.29061 0.00316868
8.45981 0.00415203
8.629 0.00556702
8.7982 0.00691563
8.96739 0.00900934
9.13659 0.0125858
9.30579 0.0178104
9.47498 0.0233459
9.64418 0.0385069
9.81338 0.0646401
9.98257 0.0910995
10.1518 0.144577
10.321 0.350227
10.4902 0.652743
10.6594 0.409451
10.8286 9.54773
