# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
117.343
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 0.000541155
5.41428 2.22695e-05
8.12141 0.000624238
10.8286 1154.35
13.5357 0.00125147
16.2428 847.193
18.95 331.016
21.6571 154.728
24.3642 321.052
27.0714 227.706
29.7785 58.0683
32.4857 92.1245
35.1928 88.9464
37.8999 26.6753
40.6071 27.5207
43.3142 17.506
46.0213 10.2698
48.7285 8.11323
51.4356 1.35797
54.1428 7.43924
56.8499 2.39064
59.557 4.45292
62.2642 2.23392
64.9713 2.60784
67.6785 1.82911
70.3856 2.17363
73.0927 1.37574
75.7999 1.19293
78.507 1.35911
81.2141 0.562669
83.9213 0.779009
86.6284 0.586825
89.3356 0.459731
92.0427 0.325638
94.7498 0.38669
97.457 0.315258
100.164 0.273503
102.871 0.310703
105.578 0.239771
108.286 0.297764
110.993 0.245504
113.7 0.210301
116.407 0.266903
119.114 0.206064
121.821 0.239909
124.528 0.223808
127.235 0.225511
129.943 0.220718
132.65 0.230545
135.357 0.204933
138.064 0.219681
140.771 0.222745
143.478 0.207895
146.185 0.235939
148.893 0.204198
151.6 0.224871
154.307 0.232918
157.014 0.218602
159.721 0.226737
162.428 0.226974
165.135 0.238464
167.843 0.244962
170.55 0.24441
173.257 0.233587
