# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
10.2498
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 0.0484221
5.41428 0.0181865
8.12141 0.477601
10.8286 0.483054
13.5357 0.183099
16.2428 0.287942
18.95 0.176591
21.6571 0.20577
24.3642 0.214765
27.0714 0.188613
29.7785 0.200281
32.4857 0.200973
35.1928 0.192395
37.8999 0.1966
40.6071 0.200338
43.3142 0.208799
46.0213 0.198625
48.7285 0.197676
51.4356 0.197342
54.1428 0.19267
56.8499 0.194297
59.557 0.198973
62.2642 0.201859
64.9713 0.202512
67.6785 0.200391
70.3856 0.19428
73.0927 0.19676
75.7999 0.188218
78.507 0.193116
81.2141 0.190436
83.9213 0.195957
86.6284 0.190293
89.3356 0.196421
92.0427 0.195107
94.7498 0.193633
97.457 0.196384
100.164 0.198847
102.871 0.197316
105.578 0.195433
108.286 0.19608
110.993 0.19467
113.7 0.193889
116.407 0.196826
119.114 0.194278
121.821 0.196095
124.528 0.196123
127.235 0.199955
129.943 0.19609
132.65 0.196368
135.357 0.199922
138.064 0.199759
140.771 0.202427
143.478 0.20247
146.185 0.205735
148.893 0.204381
151.6 0.204612
154.307 0.211145
157.014 0.211483
159.721 0.214069
162.428 0.216937
165.135 0.224251
167.843 0.23044
170.55 0.234817
173.257 0.239507
