# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
2.22045e-16
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 8.25026
21.6571 2.79525
32.4857 1.40439
43.3142 0.781619
54.1428 0.471301
64.9713 0.310676
75.7999 0.253983
86.6284 0.237984
97.457 0.221138
108.286 0.221794
119.114 0.208653
129.943 0.204377
140.771 0.209567
151.6 0.207392
162.428 0.190485
173.257 0.199758
184.085 0.206525
194.914 0.197186
205.742 0.206616
216.571 0.192573
227.4 0.199572
238.228 0.203652
249.057 0.203124
259.885 0.194574
270.714 0.197712
281.542 0.191371
292.371 0.196674
303.199 0.192416
314.028 0.195027
324.857 0.195191
335.685 0.202013
346.514 0.197733
357.342 0.19594
368.171 0.199156
378.999 0.195326
389.828 0.196965
400.656 0.198082
411.485 0.19481
422.314 0.197284
433.142 0.199448
443.971 0.195733
454.799 0.194828
465.628 0.197737
476.456 0.199933
487.285 0.196808
498.113 0.200951
508.942 0.200031
519.771 0.202274
530.599 0.197855
541.428 0.202541
552.256 0.201708
563.085 0.202711
573.913 0.205416
584.742 0.200537
595.57 0.207072
606.399 0.20806
617.227 0.210837
628.056 0.212242
638.885 0.216163
649.713 0.216386
660.542 0.223814
671.37 0.228531
682.199 0.235824
693.027 0.246584
