# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
45.1682
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 4720.95
21.6571 238.753
32.4857 33.1854
43.3142 8.88932
54.1428 3.88565
64.9713 1.85095
75.7999 0.972766
86.6284 0.534035
97.457 0.39033
108.286 0.292979
119.114 0.264705
129.943 0.233018
140.771 0.21065
151.6 0.211382
162.428 0.192643
173.257 0.191045
184.085 0.203661
194.914 0.195214
205.742 0.200807
216.571 0.19394
227.4 0.19884
238.228 0.192702
249.057 0.199075
259.885 0.210507
270.714 0.197869
281.542 0.1957
292.371 0.197519
303.199 0.195943
314.028 0.194277
324.857 0.19096
335.685 0.194279
346.514 0.198906
357.342 0.193115
368.171 0.19291
378.999 0.193024
389.828 0.196289
400.656 0.193042
411.485 0.192801
422.314 0.193396
433.142 0.197906
443.971 0.203153
454.799 0.196635
465.628 0.195187
476.456 0.191254
487.285 0.192106
498.113 0.1941
508.942 0.197715
519.771 0.198374
530.599 0.197205
541.428 0.201634
552.256 0.199059
563.085 0.202455
573.913 0.204918
584.742 0.205871
595.57 0.206846
606.399 0.210115
617.227 0.209332
628.056 0.213789
638.885 0.217541
649.713 0.22051
660.542 0.220328
671.37 0.226549
682.199 0.235168
693.027 0.239871
