# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
5.49645
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 0.483239
5.41428 0.313284
8.12141 0.235603
10.8286 0.374396
13.5357 0.264314
16.2428 0.216573
18.95 0.208241
21.6571 0.217042
24.3642 0.218079
27.0714 0.201967
29.7785 0.207002
32.4857 0.212117
35.1928 0.20024
37.8999 0.197156
40.6071 0.189656
43.3142 0.20164
46.0213 0.199219
48.7285 0.19795
51.4356 0.201823
54.1428 0.195202
56.8499 0.190732
59.557 0.196083
62.2642 0.19883
64.9713 0.195774
67.6785 0.196897
70.3856 0.192304
73.0927 0.197203
75.7999 0.198142
78.507 0.202096
81.2141 0.195471
83.9213 0.196683
86.6284 0.197548
89.3356 0.196492
92.0427 0.196977
94.7498 0.200262
97.457 0.191788
100.164 0.198066
102.871 0.197056
105.578 0.1965
108.286 0.194474
110.993 0.195102
113.7 0.198555
116.407 0.19489
119.114 0.196616
121.821 0.194971
124.528 0.197267
127.235 0.199406
129.943 0.198659
132.65 0.198603
135.357 0.202619
138.064 0.20096
140.771 0.203166
143.478 0.20268
146.185 0.201787
148.893 0.206126
151.6 0.207994
154.307 0.207364
157.014 0.214927
159.721 0.217728
162.428 0.220385
165.135 0.22416
167.843 0.228148
170.55 0.237121
173.257 0.238931
