# Folding 1, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
0.251054
# k [Mpc^(-1)]   p [Mpc^3]
0.676785 380.704
1.35357 189.832
2.03035 150.596
2.70714 100.484
3.38392 69.5934
4.06071 58.2377
4.73749 40.09
5.41428 33.6603
6.09106 26.779
6.76785 22.6311
7.44463 18.8077
8.12141 15.6936
8.7982 12.5646
9.47498 11.4913
10.1518 10.1991
10.8286 8.81517
11.5053 7.6884
12.1821 6.86298
12.8589 6.2131
13.5357 5.37535
14.2125 5.11046
14.8893 4.5565
15.566 4.17008
16.2428 3.76854
16.9196 3.3202
17.5964 3.05306
18.2732 2.89599
18.95 2.6578
19.6268 2.45003
20.3035 2.26687
20.9803 2.11999
21.6571 1.95483
22.3339 1.87308
23.0107 1.74002
23.6875 1.65462
24.3642 1.54586
25.041 1.43822
25.7178 1.39733
26.3946 1.31569
27.0714 1.24303
27.7482 1.17963
28.4249 1.12087
29.1017 1.05701
29.7785 0.997773
30.4553 0.957314
31.1321 0.923829
31.8089 0.865003
32.4857 0.839012
33.1624 0.801045
33.8392 0.759794
34.516 0.733092
35.1928 0.721069
35.8696 0.690758
36.5464 0.664878
37.2231 0.649638
37.8999 0.634798
38.5767 0.613455
39.2535 0.603057
39.9303 0.584573
40.6071 0.575363
41.2839 0.572079
41.9606 0.557161
42.6374 0.563482
43.3142 0.563248
