# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
1.74121
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 16.6259
5.41428 6.68382
8.12141 2.79369
10.8286 1.49047
13.5357 1.0315
16.2428 0.637836
18.95 0.584152
21.6571 0.44175
24.3642 0.399075
27.0714 0.352729
29.7785 0.317101
32.4857 0.275266
35.1928 0.278176
37.8999 0.237618
40.6071 0.234313
43.3142 0.233442
46.0213 0.221076
48.7285 0.221679
51.4356 0.216696
54.1428 0.212377
56.8499 0.212805
59.557 0.209346
62.2642 0.212649
64.9713 0.2027
67.6785 0.206496
70.3856 0.203478
73.0927 0.2021
75.7999 0.200998
78.507 0.201303
81.2141 0.201451
83.9213 0.201652
86.6284 0.197494
89.3356 0.201239
92.0427 0.196738
94.7498 0.197793
97.457 0.198768
100.164 0.196987
102.871 0.195261
105.578 0.196713
108.286 0.199154
110.993 0.199553
113.7 0.196679
116.407 0.198166
119.114 0.199112
121.821 0.199719
124.528 0.194801
127.235 0.198846
129.943 0.201237
132.65 0.199156
135.357 0.199551
138.064 0.200164
140.771 0.200902
143.478 0.20488
146.185 0.202761
148.893 0.20496
151.6 0.209127
154.307 0.211226
157.014 0.213393
159.721 0.218375
162.428 0.220564
165.135 0.223361
167.843 0.233796
170.55 0.237064
173.257 0.240484
