# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
2.22045e-16
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 61.435
5.41428 31.698
8.12141 21.3026
10.8286 15.5056
13.5357 7.3537
16.2428 5.75599
18.95 3.75917
21.6571 3.22952
24.3642 2.39676
27.0714 1.81727
29.7785 1.57334
32.4857 1.21508
35.1928 1.05016
37.8999 0.888255
40.6071 0.753733
43.3142 0.655766
46.0213 0.591792
48.7285 0.517058
51.4356 0.463189
54.1428 0.41826
56.8499 0.390053
59.557 0.374834
62.2642 0.338135
64.9713 0.328871
67.6785 0.29936
70.3856 0.293237
73.0927 0.273235
75.7999 0.27584
78.507 0.264935
81.2141 0.252575
83.9213 0.240054
86.6284 0.245628
89.3356 0.234224
92.0427 0.230721
94.7498 0.227947
97.457 0.22781
100.164 0.220151
102.871 0.2237
105.578 0.217907
108.286 0.218622
110.993 0.215371
113.7 0.217787
116.407 0.214401
119.114 0.212591
121.821 0.213671
124.528 0.212171
127.235 0.209088
129.943 0.214223
132.65 0.210094
135.357 0.209172
138.064 0.212496
140.771 0.210058
143.478 0.212135
146.185 0.213878
148.893 0.214248
151.6 0.215231
154.307 0.220491
157.014 0.218817
159.721 0.221647
162.428 0.225688
165.135 0.230442
167.843 0.237964
170.55 0.243695
173.257 0.247323
