# Folding 1, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
2.22045e-16
# k [Mpc^(-1)]   p [Mpc^3]
0.676785 845.73
1.35357 421.822
2.03035 246.068
2.70714 159.624
3.38392 107.184
4.06071 82.1273
4.73749 57.3764
5.41428 48.3413
6.09106 39.5059
6.76785 31.0493
7.44463 29.5174
8.12141 22.8411
8.7982 20.3919
9.47498 16.8419
10.1518 15.7401
10.8286 13.7381
11.5053 11.7441
12.1821 10.3126
12.8589 9.43088
13.5357 8.8161
14.2125 7.70019
14.8893 6.91593
15.566 6.36596
16.2428 5.73671
16.9196 5.29345
17.5964 4.95302
18.2732 4.53759
18.95 4.21111
19.6268 3.86185
20.3035 3.60894
20.9803 3.4237
21.6571 3.1015
22.3339 2.8717
23.0107 2.68336
23.6875 2.55981
24.3642 2.37833
25.041 2.26859
25.7178 2.13102
26.3946 2.06279
27.0714 1.89981
27.7482 1.78085
28.4249 1.67358
29.1017 1.58167
29.7785 1.51399
30.4553 1.47756
31.1321 1.3791
31.8089 1.32404
32.4857 1.26946
33.1624 1.21446
33.8392 1.13565
34.516 1.09556
35.1928 1.06009
35.8696 1.0094
36.5464 0.967757
37.2231 0.934295
37.8999 0.917071
38.5767 0.890233
39.2535 0.860209
39.9303 0.828546
40.6071 0.811256
41.2839 0.790038
41.9606 0.785799
42.6374 0.783459
43.3142 0.771031
