# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
20.0706
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 11.4381
0.338392 3.32399
0.507588 1.9411
0.676785 0.939521
0.845981 0.568159
1.01518 0.360292
1.18437 0.254297
1.35357 0.202186
1.52277 0.15754
1.69196 0.111972
1.86116 0.0910506
2.03035 0.0724822
2.19955 0.0573966
2.36875 0.0471484
2.53794 0.042403
2.70714 0.0353367
2.87633 0.028689
3.04553 0.0264765
3.21473 0.0221735
3.38392 0.0194357
3.55312 0.0159124
3.72231 0.0143105
3.89151 0.012793
4.06071 0.0114837
4.2299 0.0103631
4.3991 0.00891086
4.5683 0.00822889
4.73749 0.00722478
4.90669 0.00649099
5.07588 0.00582629
5.24508 0.00539536
5.41428 0.00491341
5.58347 0.00442178
5.75267 0.00425057
5.92186 0.00417203
6.09106 0.00409154
6.26026 0.00442625
6.42945 0.00458006
6.59865 0.00503524
6.76785 0.00535032
6.93704 0.00639873
7.10624 0.00700139
7.27543 0.00804995
7.44463 0.00940993
7.61383 0.0117694
7.78302 0.0137017
7.95222 0.0177294
8.12141 0.0202893
8.29061 0.0283094
8.45981 0.0349527
8.629 0.0454359
8.7982 0.0544431
8.96739 0.0725331
9.13659 0.0961884
9.30579 0.130376
9.47498 0.169187
9.64418 0.205794
9.81338 0.303963
9.98257 0.359185
10.1518 0.42381
10.321 0.547937
10.4902 0.751035
10.6594 0.763207
10.8286 0.226743
