# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
108.415
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 0.415652
0.338392 0.127939
0.507588 0.0711446
0.676785 0.0339067
0.845981 0.0212538
1.01518 0.0135414
1.18437 0.00912075
1.35357 0.00717628
1.52277 0.00567101
1.69196 0.00397537
1.86116 0.00325477
2.03035 0.00260309
2.19955 0.00210231
2.36875 0.00178367
2.53794 0.00150241
2.70714 0.00131218
2.87633 0.00106292
3.04553 0.000972602
3.21473 0.000835384
3.38392 0.000710795
3.55312 0.000603348
3.72231 0.000555161
3.89151 0.00050308
4.06071 0.000442589
4.2299 0.000408961
4.3991 0.000349661
4.5683 0.000327017
4.73749 0.000293789
4.90669 0.000267489
5.07588 0.000241056
5.24508 0.00022575
5.41428 0.000194013
5.58347 0.000173475
5.75267 0.000163807
5.92186 0.000151766
6.09106 0.000145435
6.26026 0.000143336
6.42945 0.000139782
6.59865 0.000139081
6.76785 0.000146318
6.93704 0.00014921
7.10624 0.000160472
7.27543 0.000166863
7.44463 0.000193493
7.61383 0.000204358
7.78302 0.000241597
7.95222 0.000286385
8.12141 0.000347996
8.29061 0.000402143
8.45981 0.000514539
8.629 0.000653275
8.7982 0.000782594
8.96739 0.00100179
9.13659 0.00140971
9.30579 0.00187567
9.47498 0.00235795
9.64418 0.00377378
9.81338 0.00631982
9.98257 0.00934213
10.1518 0.0140259
10.321 0.0330498
10.4902 0.0575995
10.6594 0.0374983
10.8286 23.4223
