# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
9.40103
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 4.19046
21.6571 0.391988
32.4857 0.214078
43.3142 0.205601
54.1428 0.195163
64.9713 0.212212
75.7999 0.191524
86.6284 0.198118
97.457 0.20075
108.286 0.197663
119.114 0.196596
129.943 0.189591
140.771 0.199388
151.6 0.191831
162.428 0.199942
173.257 0.194471
184.085 0.19474
194.914 0.193345
205.742 0.189168
216.571 0.189503
227.4 0.196264
238.228 0.196849
249.057 0.191304
259.885 0.199066
270.714 0.192636
281.542 0.195393
292.371 0.204288
303.199 0.192393
314.028 0.200781
324.857 0.193596
335.685 0.19738
346.514 0.198541
357.342 0.201255
368.171 0.197274
378.999 0.193508
389.828 0.198078
400.656 0.19083
411.485 0.194897
422.314 0.195283
433.142 0.197042
443.971 0.195065
454.799 0.194419
465.628 0.196301
476.456 0.197734
487.285 0.198001
498.113 0.198109
508.942 0.19959
519.771 0.200008
530.599 0.201009
541.428 0.199619
552.256 0.202105
563.085 0.199044
573.913 0.20177
584.742 0.206761
595.57 0.207841
606.399 0.206767
617.227 0.208984
628.056 0.209606
638.885 0.215785
649.713 0.220668
660.542 0.223523
671.37 0.227983
682.199 0.238209
693.027 0.23911
