# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
85.4722
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 0.666452
0.338392 0.204286
0.507588 0.113949
0.676785 0.0543667
0.845981 0.0339815
1.01518 0.0216321
1.18437 0.0146101
1.35357 0.0115125
1.52277 0.00908839
1.69196 0.00636628
1.86116 0.00521398
2.03035 0.00417384
2.19955 0.00336079
2.36875 0.0028452
2.53794 0.00240804
2.70714 0.00209351
2.87633 0.00169921
3.04553 0.0015564
3.21473 0.00133365
3.38392 0.00113558
3.55312 0.000960053
3.72231 0.000885597
3.89151 0.00080128
4.06071 0.000706691
4.2299 0.000650014
4.3991 0.000557296
4.5683 0.00052113
4.73749 0.000466691
4.90669 0.00042485
5.07588 0.000383752
5.24508 0.000358825
5.41428 0.000307708
5.58347 0.000275784
5.75267 0.000261856
5.92186 0.000244702
6.09106 0.000236397
6.26026 0.000236894
6.42945 0.000233625
6.59865 0.000237025
6.76785 0.00025445
6.93704 0.000263749
7.10624 0.000287718
7.27543 0.000307074
7.44463 0.000364917
7.61383 0.000387696
7.78302 0.000471636
7.95222 0.000568963
8.12141 0.000700876
8.29061 0.000820796
8.45981 0.00107467
8.629 0.00139134
8.7982 0.00169682
8.96739 0.00218508
9.13659 0.00315131
9.30579 0.00429683
9.47498 0.00541926
9.64418 0.00899534
9.81338 0.0150169
9.98257 0.0223212
10.1518 0.0342369
10.321 0.0816395
10.4902 0.141905
10.6594 0.0928116
10.8286 19.9254
