# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
1.16642
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 1182.92
0.338392 278.853
0.507588 210.341
0.676785 132.772
0.845981 108.974
1.01518 88.0316
1.18437 77.8871
1.35357 70.4154
1.52277 59.4774
1.69196 53.2656
1.86116 45.8747
2.03035 40.7093
2.19955 39.0285
2.36875 35.7436
2.53794 35.056
2.70714 29.4418
2.87633 27.5921
3.04553 26.2357
3.21473 24.2475
3.38392 22.3522
3.55312 20.794
3.72231 20.0497
3.89151 18.4235
4.06071 17.0063
4.2299 15.9399
4.3991 14.5725
4.5683 14.1712
4.73749 13.4682
4.90669 12.6961
5.07588 11.8576
5.24508 11.2748
5.41428 10.6807
5.58347 9.94631
5.75267 9.71948
5.92186 9.20385
6.09106 8.83534
6.26026 8.69445
6.42945 8.10028
6.59865 7.74466
6.76785 7.17627
6.93704 6.90685
7.10624 6.62121
7.27543 6.36101
7.44463 6.07292
7.61383 5.79799
7.78302 5.60821
7.95222 5.46134
8.12141 5.23391
8.29061 5.11486
8.45981 4.74924
8.629 4.66323
8.7982 4.46252
8.96739 4.40998
9.13659 4.17971
9.30579 4.1014
9.47498 3.96979
9.64418 3.86322
9.81338 3.75155
9.98257 3.67966
10.1518 3.58999
10.321 3.56829
10.4902 3.5386
10.6594 3.47286
10.8286 3.48758
