# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
53.0103
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 8499.43
21.6571 491.795
32.4857 85.0718
43.3142 18.7856
54.1428 6.3367
64.9713 3.7192
75.7999 1.76299
86.6284 1.15182
97.457 0.629465
108.286 0.438302
119.114 0.331619
129.943 0.278985
140.771 0.255433
151.6 0.241766
162.428 0.206096
173.257 0.207976
184.085 0.201736
194.914 0.188424
205.742 0.196922
216.571 0.202529
227.4 0.197297
238.228 0.198693
249.057 0.194284
259.885 0.198036
270.714 0.195643
281.542 0.192849
292.371 0.199571
303.199 0.210728
314.028 0.199718
324.857 0.195356
335.685 0.196091
346.514 0.195293
357.342 0.194237
368.171 0.194779
378.999 0.191872
389.828 0.192145
400.656 0.199172
411.485 0.199008
422.314 0.192763
433.142 0.194487
443.971 0.195094
454.799 0.197432
465.628 0.194107
476.456 0.193109
487.285 0.194443
498.113 0.196237
508.942 0.198977
519.771 0.204518
530.599 0.201268
541.428 0.200211
552.256 0.195205
563.085 0.196529
573.913 0.196674
584.742 0.202053
595.57 0.206122
606.399 0.208821
617.227 0.208784
628.056 0.211264
638.885 0.215638
649.713 0.217555
660.542 0.226718
671.37 0.232146
682.199 0.236953
693.027 0.239035
