# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
35.4874
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 1600.13
21.6571 76.7958
32.4857 8.68978
43.3142 4.57154
54.1428 1.53148
64.9713 0.659293
75.7999 0.404121
86.6284 0.323911
97.457 0.251165
108.286 0.219798
119.114 0.211718
129.943 0.189765
140.771 0.197653
151.6 0.198269
162.428 0.192443
173.257 0.199976
184.085 0.196609
194.914 0.192973
205.742 0.21092
216.571 0.196514
227.4 0.196714
238.228 0.199175
249.057 0.194508
259.885 0.187878
270.714 0.198988
281.542 0.192861
292.371 0.191055
303.199 0.195884
314.028 0.19227
324.857 0.193399
335.685 0.19184
346.514 0.199175
357.342 0.20034
368.171 0.194986
378.999 0.193109
389.828 0.192583
400.656 0.193448
411.485 0.194733
422.314 0.196898
433.142 0.19431
443.971 0.194645
454.799 0.198331
465.628 0.198143
476.456 0.196653
487.285 0.197572
498.113 0.197611
508.942 0.199193
519.771 0.196274
530.599 0.196939
541.428 0.199952
552.256 0.199914
563.085 0.198534
573.913 0.202611
584.742 0.202661
595.57 0.205953
606.399 0.207033
617.227 0.207631
628.056 0.213019
638.885 0.216605
649.713 0.216124
660.542 0.222459
671.37 0.229194
682.199 0.23794
693.027 0.239889
