# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
6.59993
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 0.794489
21.6571 0.218634
32.4857 0.20152
43.3142 0.194548
54.1428 0.189003
64.9713 0.204099
75.7999 0.213649
86.6284 0.206821
97.457 0.203439
108.286 0.189669
119.114 0.193759
129.943 0.189024
140.771 0.204671
151.6 0.186328
162.428 0.197123
173.257 0.194195
184.085 0.189962
194.914 0.196296
205.742 0.194957
216.571 0.196875
227.4 0.192854
238.228 0.203142
249.057 0.199309
259.885 0.192399
270.714 0.192489
281.542 0.196487
292.371 0.196872
303.199 0.191484
314.028 0.190671
324.857 0.193438
335.685 0.196892
346.514 0.198181
357.342 0.196657
368.171 0.197022
378.999 0.191252
389.828 0.196062
400.656 0.194886
411.485 0.196014
422.314 0.194764
433.142 0.196274
443.971 0.199297
454.799 0.197304
465.628 0.195546
476.456 0.19368
487.285 0.195398
498.113 0.199102
508.942 0.197125
519.771 0.197725
530.599 0.197943
541.428 0.1996
552.256 0.199251
563.085 0.203087
573.913 0.202128
584.742 0.202885
595.57 0.204191
606.399 0.209594
617.227 0.20893
628.056 0.212034
638.885 0.217604
649.713 0.220051
660.542 0.225102
671.37 0.227961
682.199 0.234162
693.027 0.239008
