# Folding 1, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
127
# k [Mpc^(-1)]   p [Mpc^3]
0.676785 0.0224567
1.35357 0.00479492
2.03035 0.00162454
2.70714 0.000873655
3.38392 0.000476103
4.06071 0.00030551
4.73749 0.00023574
5.41428 0.000143127
6.09106 0.000101416
6.76785 0.000128869
7.44463 0.000213131
8.12141 0.000408887
8.7982 0.000832741
9.47498 0.00241399
10.1518 0.0362421
10.8286 75.1766
11.5053 0.0197816
12.1821 0.00477977
12.8589 0.00267299
13.5357 0.0021419
14.2125 0.0196284
14.8893 0.0446046
15.566 61.9625
16.2428 0.0186492
16.9196 0.00796437
17.5964 0.00676654
18.2732 0.0342812
18.95 22.2622
19.6268 0.0184301
20.3035 0.00702639
20.9803 0.040414
21.6571 10.7728
22.3339 0.0202535
23.0107 0.0383295
23.6875 0.106637
24.3642 26.6843
25.041 0.0645811
25.7178 0.107904
26.3946 18.9089
27.0714 0.0736752
27.7482 0.0221246
28.4249 0.0118987
29.1017 0.00970068
29.7785 0.0184713
30.4553 4.45213
31.1321 0.041982
31.8089 0.133219
32.4857 8.1381
33.1624 0.108506
33.8392 0.130671
34.516 5.12583
35.1928 0.171182
35.8696 3.72711
36.5464 0.0841202
37.2231 0.891981
37.8999 0.0544771
38.5767 0.102076
39.2535 1.96012
39.9303 0.205728
40.6071 2.88696
41.2839 0.115113
41.9606 0.0491051
42.6374 0.0718841
43.3142 1.0048
