# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
0.156669
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 21.9271
5.41428 37.5979
8.12141 17.2475
10.8286 10.025
13.5357 7.09773
16.2428 4.15059
18.95 3.48231
21.6571 2.50311
24.3642 1.80469
27.0714 1.40248
29.7785 1.15828
32.4857 0.967746
35.1928 0.792062
37.8999 0.644952
40.6071 0.580548
43.3142 0.532728
46.0213 0.464858
48.7285 0.41471
51.4356 0.388314
54.1428 0.356297
56.8499 0.342384
59.557 0.308864
62.2642 0.297265
64.9713 0.279991
67.6785 0.276103
70.3856 0.263982
73.0927 0.255928
75.7999 0.242551
78.507 0.241428
81.2141 0.235224
83.9213 0.230098
86.6284 0.224094
89.3356 0.225262
92.0427 0.222825
94.7498 0.217279
97.457 0.221138
100.164 0.218399
102.871 0.213996
105.578 0.213377
108.286 0.213606
110.993 0.212434
113.7 0.212301
116.407 0.207264
119.114 0.207685
121.821 0.211042
124.528 0.204763
127.235 0.207355
129.943 0.206262
132.65 0.208152
135.357 0.205411
138.064 0.207675
140.771 0.20895
143.478 0.209041
146.185 0.208346
148.893 0.209828
151.6 0.211804
154.307 0.215931
157.014 0.219438
159.721 0.221496
162.428 0.227248
165.135 0.232341
167.843 0.235499
170.55 0.243411
173.257 0.245443
