# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
127
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 0.000464095
5.41428 1.82856e-05
8.12141 0.000534093
10.8286 1194.94
13.5357 0.00106429
16.2428 908.651
18.95 368.13
21.6571 178.026
24.3642 384.006
27.0714 283.17
29.7785 78.4334
32.4857 128.265
35.1928 127.95
37.8999 43.188
40.6071 46.6018
43.3142 27.1795
46.0213 17.5391
48.7285 13.2195
51.4356 2.46414
54.1428 10.4728
56.8499 3.18605
59.557 6.04203
62.2642 2.62928
64.9713 3.56543
67.6785 2.68906
70.3856 2.86895
73.0927 1.93001
75.7999 1.76482
78.507 2.19573
81.2141 0.832588
83.9213 1.21638
86.6284 0.926474
89.3356 0.697129
92.0427 0.477095
94.7498 0.546382
97.457 0.437574
100.164 0.344839
102.871 0.401834
105.578 0.289384
108.286 0.369677
110.993 0.277732
113.7 0.23123
116.407 0.311856
119.114 0.223347
121.821 0.25365
124.528 0.237766
127.235 0.235169
129.943 0.226256
132.65 0.241103
135.357 0.206025
138.064 0.222047
140.771 0.231582
143.478 0.21526
146.185 0.244559
148.893 0.206356
151.6 0.235019
154.307 0.246122
157.014 0.220309
159.721 0.230916
162.428 0.23066
165.135 0.244258
167.843 0.247793
170.55 0.246251
173.257 0.229042
