# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
1.3432
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 13.8304
5.41428 6.42872
8.12141 4.21137
10.8286 2.11649
13.5357 1.58756
16.2428 0.989589
18.95 0.76181
21.6571 0.605075
24.3642 0.514034
27.0714 0.421012
29.7785 0.370635
32.4857 0.331239
35.1928 0.306012
37.8999 0.281945
40.6071 0.278804
43.3142 0.255981
46.0213 0.239302
48.7285 0.227024
51.4356 0.221935
54.1428 0.232999
56.8499 0.216585
59.557 0.2171
62.2642 0.209574
64.9713 0.203761
67.6785 0.215326
70.3856 0.203018
73.0927 0.206366
75.7999 0.207443
78.507 0.207869
81.2141 0.202141
83.9213 0.200932
86.6284 0.201648
89.3356 0.200685
92.0427 0.20263
94.7498 0.201839
97.457 0.201296
100.164 0.202209
102.871 0.200271
105.578 0.198921
108.286 0.196067
110.993 0.200899
113.7 0.197587
116.407 0.196757
119.114 0.197748
121.821 0.199431
124.528 0.20005
127.235 0.200737
129.943 0.199367
132.65 0.199089
135.357 0.200546
138.064 0.201823
140.771 0.201305
143.478 0.204083
146.185 0.203189
148.893 0.209555
151.6 0.208647
154.307 0.212227
157.014 0.2152
159.721 0.217802
162.428 0.221515
165.135 0.223178
167.843 0.232459
170.55 0.239736
173.257 0.24117
