# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
30.1896
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 801.723
21.6571 33.4779
32.4857 5.39978
43.3142 2.20614
54.1428 0.837985
64.9713 0.38005
75.7999 0.296839
86.6284 0.253586
97.457 0.225111
108.286 0.19592
119.114 0.189986
129.943 0.214945
140.771 0.195363
151.6 0.200402
162.428 0.196295
173.257 0.209602
184.085 0.195406
194.914 0.200581
205.742 0.19761
216.571 0.195322
227.4 0.192025
238.228 0.194427
249.057 0.192259
259.885 0.193148
270.714 0.19608
281.542 0.195384
292.371 0.195596
303.199 0.199864
314.028 0.193066
324.857 0.193471
335.685 0.19511
346.514 0.197919
357.342 0.192147
368.171 0.195495
378.999 0.192597
389.828 0.199244
400.656 0.197335
411.485 0.194484
422.314 0.196982
433.142 0.19724
443.971 0.197035
454.799 0.19428
465.628 0.196795
476.456 0.197988
487.285 0.19742
498.113 0.197725
508.942 0.198679
519.771 0.197319
530.599 0.198203
541.428 0.200527
552.256 0.197514
563.085 0.199183
573.913 0.201938
584.742 0.205899
595.57 0.206416
606.399 0.206783
617.227 0.211938
628.056 0.213489
638.885 0.215123
649.713 0.21972
660.542 0.223371
671.37 0.227434
682.199 0.236614
693.027 0.240585
