# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
0.851865
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 1.41139
21.6571 0.8012
32.4857 0.369577
43.3142 0.259869
54.1428 0.234116
64.9713 0.216909
75.7999 0.208813
86.6284 0.184032
97.457 0.195277
108.286 0.191859
119.114 0.193102
129.943 0.196136
140.771 0.203112
151.6 0.205916
162.428 0.194589
173.257 0.195506
184.085 0.195119
194.914 0.193381
205.742 0.196081
216.571 0.196357
227.4 0.1913
238.228 0.199617
249.057 0.19456
259.885 0.197175
270.714 0.200997
281.542 0.201415
292.371 0.198096
303.199 0.195022
314.028 0.191835
324.857 0.193292
335.685 0.199076
346.514 0.194615
357.342 0.19303
368.171 0.196706
378.999 0.198666
389.828 0.196199
400.656 0.192856
411.485 0.194197
422.314 0.194748
433.142 0.193772
443.971 0.198828
454.799 0.19255
465.628 0.194194
476.456 0.197242
487.285 0.197245
498.113 0.19619
508.942 0.196961
519.771 0.198148
530.599 0.198277
541.428 0.198802
552.256 0.199386
563.085 0.200578
573.913 0.20322
584.742 0.20339
595.57 0.205804
606.399 0.209333
617.227 0.211563
628.056 0.21226
638.885 0.215377
649.713 0.219779
660.542 0.223488
671.37 0.227907
682.199 0.24124
693.027 0.240932
