# Folding 1, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
35.4874
# k [Mpc^(-1)]   p [Mpc^3]
0.676785 0.250008
1.35357 0.0609677
2.03035 0.0200805
2.70714 0.0102062
3.38392 0.00557485
4.06071 0.00339558
4.73749 0.00250347
5.41428 0.00149411
6.09106 0.00120398
6.76785 0.00146367
7.44463 0.00257122
8.12141 0.00468431
8.7982 0.0123644
9.47498 0.0416073
10.1518 0.363668
10.8286 7.8938
11.5053 0.192651
12.1821 0.0707812
12.8589 0.0367669
13.5357 0.0361389
14.2125 0.159505
14.8893 0.217083
15.566 0.651
16.2428 0.155215
16.9196 0.108428
17.5964 0.092395
18.2732 0.194321
18.95 0.246736
19.6268 0.132869
20.3035 0.0884683
20.9803 0.128932
21.6571 0.219241
22.3339 0.165811
23.0107 0.233001
23.6875 0.210217
24.3642 0.295283
25.041 0.311399
25.7178 0.350227
26.3946 0.248936
27.0714 0.234153
27.7482 0.136995
28.4249 0.141269
29.1017 0.114772
29.7785 0.111514
30.4553 0.175745
31.1321 0.177217
31.8089 0.218137
32.4857 0.219042
33.1624 0.226411
33.8392 0.231444
34.516 0.217731
35.1928 0.228778
35.8696 0.210283
36.5464 0.195402
37.2231 0.204554
37.8999 0.197255
38.5767 0.216768
39.2535 0.199956
39.9303 0.223748
40.6071 0.219866
41.2839 0.207877
41.9606 0.217068
42.6374 0.228782
43.3142 0.224076
