# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
15.6524
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 42.6291
21.6571 1.84689
32.4857 0.661477
43.3142 0.290686
54.1428 0.209439
64.9713 0.209172
75.7999 0.218465
86.6284 0.17825
97.457 0.200648
108.286 0.196879
119.114 0.191172
129.943 0.193622
140.771 0.194494
151.6 0.189513
162.428 0.202149
173.257 0.187979
184.085 0.197137
194.914 0.191361
205.742 0.194762
216.571 0.197053
227.4 0.193967
238.228 0.194764
249.057 0.196902
259.885 0.191321
270.714 0.197049
281.542 0.195935
292.371 0.19534
303.199 0.19315
314.028 0.190699
324.857 0.198286
335.685 0.198788
346.514 0.19057
357.342 0.191238
368.171 0.195885
378.999 0.193919
389.828 0.196184
400.656 0.194814
411.485 0.197911
422.314 0.197932
433.142 0.197895
443.971 0.195069
454.799 0.19606
465.628 0.198348
476.456 0.196775
487.285 0.198992
498.113 0.200909
508.942 0.200553
519.771 0.200809
530.599 0.19867
541.428 0.200104
552.256 0.200191
563.085 0.200476
573.913 0.202401
584.742 0.200534
595.57 0.20493
606.399 0.208282
617.227 0.207294
628.056 0.212187
638.885 0.216226
649.713 0.220152
660.542 0.226846
671.37 0.228714
682.199 0.234943
693.027 0.240636
