# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
0.0694059
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 3637.61
0.338392 1337.29
0.507588 918.244
0.676785 794.819
0.845981 563.648
1.01518 518.082
1.18437 403.606
1.35357 336.975
1.52277 301.88
1.69196 260.178
1.86116 240.514
2.03035 228.809
2.19955 198.063
2.36875 181.053
2.53794 171.561
2.70714 152.209
2.87633 146.462
3.04553 128.993
3.21473 120.809
3.38392 112.641
3.55312 105.402
3.72231 98.0091
3.89151 90.9511
4.06071 84.5185
4.2299 75.1578
4.3991 70.0417
4.5683 65.2768
4.73749 59.9136
4.90669 57.6771
5.07588 53.5274
5.24508 49.8179
5.41428 46.3537
5.58347 45.3108
5.75267 42.1172
5.92186 39.6486
6.09106 37.1255
6.26026 35.3021
6.42945 33.928
6.59865 32.1979
6.76785 29.7231
6.93704 29.1758
7.10624 27.4868
7.27543 26.523
7.44463 25.2686
7.61383 24.7078
7.78302 23.1918
7.95222 22.3526
8.12141 21.6652
8.29061 20.6736
8.45981 20.006
8.629 19.3558
8.7982 18.6516
8.96739 18.1147
9.13659 17.502
9.30579 16.9382
9.47498 16.5877
9.64418 16.0202
9.81338 15.5624
9.98257 15.3274
10.1518 15.1726
10.321 15.0372
10.4902 14.9517
10.6594 15.0272
10.8286 14.8868
