# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
21.7899
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 0.00949807
5.41428 0.0017897
8.12141 0.013788
10.8286 21.5009
13.5357 0.0455993
16.2428 1.61332
18.95 0.358864
21.6571 0.257205
24.3642 0.352601
27.0714 0.183157
29.7785 0.21527
32.4857 0.186524
35.1928 0.208477
37.8999 0.204412
40.6071 0.182846
43.3142 0.198221
46.0213 0.204207
48.7285 0.19751
51.4356 0.19697
54.1428 0.193874
56.8499 0.189617
59.557 0.199928
62.2642 0.19465
64.9713 0.196734
67.6785 0.194594
70.3856 0.191013
73.0927 0.196258
75.7999 0.197861
78.507 0.194157
81.2141 0.189761
83.9213 0.198248
86.6284 0.197909
89.3356 0.194261
92.0427 0.193607
94.7498 0.195662
97.457 0.197825
100.164 0.196308
102.871 0.194611
105.578 0.196232
108.286 0.19742
110.993 0.192963
113.7 0.198276
116.407 0.196738
119.114 0.196401
121.821 0.195388
124.528 0.199239
127.235 0.197198
129.943 0.195658
132.65 0.20268
135.357 0.200713
138.064 0.199985
140.771 0.199677
143.478 0.201688
146.185 0.203918
148.893 0.20546
151.6 0.20822
154.307 0.209046
157.014 0.213233
159.721 0.214917
162.428 0.220028
165.135 0.223912
167.843 0.228537
170.55 0.236424
173.257 0.243614
