# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
2.46851
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 0.928148
21.6571 0.360344
32.4857 0.222017
43.3142 0.224996
54.1428 0.195088
64.9713 0.19515
75.7999 0.185637
86.6284 0.193081
97.457 0.199533
108.286 0.194773
119.114 0.207682
129.943 0.201737
140.771 0.190059
151.6 0.197139
162.428 0.193967
173.257 0.195195
184.085 0.198188
194.914 0.194589
205.742 0.201113
216.571 0.197816
227.4 0.197922
238.228 0.194148
249.057 0.196364
259.885 0.193388
270.714 0.194348
281.542 0.195705
292.371 0.195667
303.199 0.191139
314.028 0.189444
324.857 0.195542
335.685 0.199436
346.514 0.189658
357.342 0.192772
368.171 0.197417
378.999 0.197319
389.828 0.192791
400.656 0.19285
411.485 0.195271
422.314 0.197249
433.142 0.197696
443.971 0.197191
454.799 0.195664
465.628 0.197889
476.456 0.197311
487.285 0.19674
498.113 0.197849
508.942 0.199316
519.771 0.201455
530.599 0.199423
541.428 0.200794
552.256 0.200316
563.085 0.202706
573.913 0.201253
584.742 0.199206
595.57 0.206142
606.399 0.20856
617.227 0.207489
628.056 0.212979
638.885 0.216907
649.713 0.222337
660.542 0.220766
671.37 0.227927
682.199 0.239366
693.027 0.242507
