# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
27.8365
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 6.0685
0.338392 1.79461
0.507588 1.0307
0.676785 0.496175
0.845981 0.302885
1.01518 0.191848
1.18437 0.133172
1.35357 0.105624
1.52277 0.0826346
1.69196 0.0580557
1.86116 0.0473451
2.03035 0.0378194
2.19955 0.0299759
2.36875 0.0248187
2.53794 0.021925
2.70714 0.0183785
2.87633 0.014956
3.04553 0.0138007
3.21473 0.0115714
3.38392 0.00999707
3.55312 0.0081942
3.72231 0.00751854
3.89151 0.00671291
4.06071 0.00597274
4.2299 0.00539567
4.3991 0.00462807
4.5683 0.00430787
4.73749 0.00374163
4.90669 0.0033888
5.07588 0.0030739
5.24508 0.00282614
5.41428 0.00249674
5.58347 0.00221951
5.75267 0.00214272
5.92186 0.00210239
6.09106 0.00207406
6.26026 0.00220558
6.42945 0.0022877
6.59865 0.0025249
6.76785 0.00273701
6.93704 0.00315237
7.10624 0.00345752
7.27543 0.00394991
7.44463 0.00466925
7.61383 0.0054214
7.78302 0.00676278
7.95222 0.00863521
8.12141 0.0102489
8.29061 0.0133881
8.45981 0.0169294
8.629 0.0225891
8.7982 0.0288926
8.96739 0.0403995
9.13659 0.0472192
9.30579 0.0718276
9.47498 0.100607
9.64418 0.137284
9.81338 0.223536
9.98257 0.266384
10.1518 0.358118
10.321 0.605228
10.4902 1.23834
10.6594 0.819156
10.8286 0.534402
