# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
108.415
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 32441.9
21.6571 12791.9
32.4857 3195.79
43.3142 658.29
54.1428 215.12
64.9713 98.6531
75.7999 42.2898
86.6284 18.185
97.457 9.53042
108.286 6.51368
119.114 5.03021
129.943 3.78916
140.771 2.62958
151.6 1.75819
162.428 1.41862
173.257 1.13526
184.085 0.847855
194.914 0.607512
205.742 0.493087
216.571 0.448198
227.4 0.379413
238.228 0.32053
249.057 0.296886
259.885 0.281902
270.714 0.257372
281.542 0.245389
292.371 0.238818
303.199 0.22808
314.028 0.217504
324.857 0.205648
335.685 0.198205
346.514 0.201548
357.342 0.204011
368.171 0.20127
378.999 0.192526
389.828 0.187275
400.656 0.188542
411.485 0.198152
422.314 0.209989
433.142 0.208005
443.971 0.202418
454.799 0.197191
465.628 0.193946
476.456 0.193355
487.285 0.198115
498.113 0.199172
508.942 0.197775
519.771 0.197448
530.599 0.200368
541.428 0.203211
552.256 0.202216
563.085 0.19697
573.913 0.191043
584.742 0.198539
595.57 0.209255
606.399 0.221797
617.227 0.226441
628.056 0.221771
638.885 0.216276
649.713 0.220365
660.542 0.226013
671.37 0.227829
682.199 0.231818
693.027 0.236839
