# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
0.582982
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 65.6908
5.41428 21.9403
8.12141 8.54032
10.8286 5.63603
13.5357 3.50161
16.2428 2.21463
18.95 1.83485
21.6571 1.2696
24.3642 0.947661
27.0714 0.798525
29.7785 0.69358
32.4857 0.555023
35.1928 0.490616
37.8999 0.436693
40.6071 0.373189
43.3142 0.359479
46.0213 0.326857
48.7285 0.288398
51.4356 0.283152
54.1428 0.260272
56.8499 0.25147
59.557 0.240857
62.2642 0.243593
64.9713 0.235444
67.6785 0.229173
70.3856 0.224165
73.0927 0.222628
75.7999 0.217294
78.507 0.218923
81.2141 0.219103
83.9213 0.213091
86.6284 0.213286
89.3356 0.206183
92.0427 0.20976
94.7498 0.209434
97.457 0.202517
100.164 0.208696
102.871 0.203775
105.578 0.204793
108.286 0.207294
110.993 0.206009
113.7 0.202142
116.407 0.203156
119.114 0.206539
121.821 0.201403
124.528 0.200837
127.235 0.203427
129.943 0.201893
132.65 0.203749
135.357 0.206555
138.064 0.207291
140.771 0.202396
143.478 0.208625
146.185 0.206256
148.893 0.208565
151.6 0.212147
154.307 0.21369
157.014 0.214356
159.721 0.219058
162.428 0.221876
165.135 0.226873
167.843 0.231163
170.55 0.237416
173.257 0.242392
