# Folding 1, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
3.74689
# k [Mpc^(-1)]   p [Mpc^3]
0.676785 12.7242
1.35357 6.01238
2.03035 3.59339
2.70714 2.38185
3.38392 1.83487
4.06071 1.39652
4.73749 1.17093
5.41428 0.98648
6.09106 0.867801
6.76785 0.814953
7.44463 0.727799
8.12141 0.65716
8.7982 0.629551
9.47498 0.554347
10.1518 0.529307
10.8286 0.496308
11.5053 0.449883
12.1821 0.431733
12.8589 0.402717
13.5357 0.394441
14.2125 0.362528
14.8893 0.356427
15.566 0.351533
16.2428 0.318637
16.9196 0.314931
17.5964 0.293436
18.2732 0.288397
18.95 0.290952
19.6268 0.274977
20.3035 0.26499
20.9803 0.263363
21.6571 0.258573
22.3339 0.260207
23.0107 0.245211
23.6875 0.248505
24.3642 0.241476
25.041 0.240448
25.7178 0.233843
26.3946 0.234094
27.0714 0.227498
27.7482 0.229363
28.4249 0.222877
29.1017 0.224788
29.7785 0.224903
30.4553 0.218518
31.1321 0.222241
31.8089 0.214856
32.4857 0.215421
33.1624 0.212744
33.8392 0.216069
34.516 0.211916
35.1928 0.217348
35.8696 0.21684
36.5464 0.21755
37.2231 0.215644
37.8999 0.21609
38.5767 0.21865
39.2535 0.222867
39.9303 0.227865
40.6071 0.228337
41.2839 0.236209
41.9606 0.240212
42.6374 0.245469
43.3142 0.248894
