# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
9.40103
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 0.0604196
5.41428 0.0237127
8.12141 0.550671
10.8286 0.464897
13.5357 0.214456
16.2428 0.221794
18.95 0.189135
21.6571 0.206082
24.3642 0.205953
27.0714 0.181425
29.7785 0.198276
32.4857 0.19898
35.1928 0.190499
37.8999 0.191285
40.6071 0.191952
43.3142 0.192039
46.0213 0.204942
48.7285 0.197962
51.4356 0.198462
54.1428 0.198253
56.8499 0.196607
59.557 0.198531
62.2642 0.191215
64.9713 0.196735
67.6785 0.194589
70.3856 0.193179
73.0927 0.199232
75.7999 0.199624
78.507 0.195642
81.2141 0.194618
83.9213 0.198393
86.6284 0.191134
89.3356 0.196688
92.0427 0.195074
94.7498 0.192388
97.457 0.192736
100.164 0.197553
102.871 0.198804
105.578 0.193087
108.286 0.1982
110.993 0.195339
113.7 0.196434
116.407 0.193284
119.114 0.195217
121.821 0.198971
124.528 0.198251
127.235 0.200539
129.943 0.201626
132.65 0.198391
135.357 0.195519
138.064 0.202361
140.771 0.200863
143.478 0.203591
146.185 0.203643
148.893 0.206633
151.6 0.206594
154.307 0.209837
157.014 0.214976
159.721 0.214234
162.428 0.21743
165.135 0.224522
167.843 0.227805
170.55 0.235357
173.257 0.242543
