# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
127
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 36657.2
21.6571 18544.5
32.4857 6705.79
43.3142 1788.26
54.1428 432.124
64.9713 189.481
75.7999 104.126
86.6284 51.6637
97.457 22.9389
108.286 11.9072
119.114 7.85164
129.943 6.08083
140.771 4.98267
151.6 3.87161
162.428 2.79641
173.257 2.00244
184.085 1.54063
194.914 1.28026
205.742 1.0762
216.571 0.816755
227.4 0.613569
238.228 0.503393
249.057 0.467825
259.885 0.412449
270.714 0.353587
281.542 0.311634
292.371 0.296292
303.199 0.281802
314.028 0.260449
324.857 0.247859
335.685 0.240362
346.514 0.235604
357.342 0.228145
368.171 0.217787
378.999 0.206072
389.828 0.199388
400.656 0.198277
411.485 0.203426
422.314 0.20497
433.142 0.198488
443.971 0.19411
454.799 0.187768
465.628 0.189198
476.456 0.195733
487.285 0.204876
498.113 0.210753
508.942 0.20808
519.771 0.203562
530.599 0.199062
541.428 0.195368
552.256 0.194824
563.085 0.197322
573.913 0.202107
584.742 0.203137
595.57 0.2055
606.399 0.206898
617.227 0.208738
628.056 0.212393
638.885 0.217441
649.713 0.220039
660.542 0.216475
671.37 0.216026
682.199 0.225866
693.027 0.235646
