# Folding 2, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
2.46851
# k [Mpc^(-1)]   p [Mpc^3]
2.70714 7.641
5.41428 3.18936
8.12141 1.59187
10.8286 0.977064
13.5357 0.582491
16.2428 0.506636
18.95 0.409091
21.6571 0.377943
24.3642 0.292886
27.0714 0.261789
29.7785 0.240252
32.4857 0.261069
35.1928 0.233461
37.8999 0.222559
40.6071 0.215548
43.3142 0.211253
46.0213 0.200436
48.7285 0.205128
51.4356 0.204932
54.1428 0.202782
56.8499 0.202188
59.557 0.199752
62.2642 0.208892
64.9713 0.206836
67.6785 0.199345
70.3856 0.196448
73.0927 0.197317
75.7999 0.195532
78.507 0.195966
81.2141 0.200632
83.9213 0.196975
86.6284 0.196818
89.3356 0.195403
92.0427 0.195163
94.7498 0.200973
97.457 0.195694
100.164 0.196804
102.871 0.195951
105.578 0.196852
108.286 0.192226
110.993 0.194999
113.7 0.197624
116.407 0.197717
119.114 0.196171
121.821 0.199469
124.528 0.195489
127.235 0.201021
129.943 0.200558
132.65 0.199958
135.357 0.195675
138.064 0.198829
140.771 0.200721
143.478 0.200433
146.185 0.204062
148.893 0.205937
151.6 0.208109
154.307 0.211438
157.014 0.211665
159.721 0.215051
162.428 0.22064
165.135 0.222534
167.843 0.229544
170.55 0.235261
173.257 0.237696
