# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
92.5283
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 27481.5
21.6571 7760.42
32.4857 1263.85
43.3142 281.168
54.1428 111.653
64.9713 40.0307
75.7999 15.4901
86.6284 8.15529
97.457 5.76149
108.286 4.12735
119.114 2.75543
129.943 1.78051
140.771 1.35427
151.6 1.02943
162.428 0.714669
173.257 0.52668
184.085 0.45677
194.914 0.374423
205.742 0.319978
216.571 0.291528
227.4 0.270543
238.228 0.247269
249.057 0.241606
259.885 0.231139
270.714 0.213382
281.542 0.204391
292.371 0.199332
303.199 0.205312
314.028 0.201435
324.857 0.192925
335.685 0.186599
346.514 0.19305
357.342 0.203588
368.171 0.207054
378.999 0.200315
389.828 0.195795
400.656 0.191667
411.485 0.19557
422.314 0.196998
433.142 0.195793
443.971 0.194267
454.799 0.196049
465.628 0.200204
476.456 0.197157
487.285 0.188499
498.113 0.190828
508.942 0.202426
519.771 0.213437
530.599 0.213752
541.428 0.204399
552.256 0.197493
563.085 0.198588
573.913 0.200498
584.742 0.205288
595.57 0.205928
606.399 0.205392
617.227 0.20814
628.056 0.211646
638.885 0.215685
649.713 0.218291
660.542 0.220299
671.37 0.226263
682.199 0.238375
693.027 0.244166
