# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
1.9649
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 635.89
0.338392 141.799
0.507588 114.966
0.676785 66.9679
0.845981 51.5585
1.01518 39.9072
1.18437 34.0353
1.35357 27.5997
1.52277 23.9588
1.69196 21.4327
1.86116 20.1255
2.03035 17.4236
2.19955 17.6077
2.36875 15.2633
2.53794 14.2431
2.70714 14.0077
2.87633 12.3389
3.04553 11.35
3.21473 10.7217
3.38392 10.2469
3.55312 9.7768
3.72231 8.97898
3.89151 8.66113
4.06071 7.96511
4.2299 7.57544
4.3991 7.0974
4.5683 6.7789
4.73749 6.40077
4.90669 6.32544
5.07588 5.96575
5.24508 5.54243
5.41428 5.39895
5.58347 5.09369
5.75267 4.86682
5.92186 4.5297
6.09106 4.39539
6.26026 4.30974
6.42945 4.01026
6.59865 3.8119
6.76785 3.53896
6.93704 3.41463
7.10624 3.26696
7.27543 3.14175
7.44463 3.10702
7.61383 2.90873
7.78302 2.76966
7.95222 2.65605
8.12141 2.61118
8.29061 2.48385
8.45981 2.38357
8.629 2.30563
8.7982 2.20326
8.96739 2.13551
9.13659 2.09484
9.30579 2.02633
9.47498 1.97277
9.64418 1.94213
9.81338 1.86161
9.98257 1.85489
10.1518 1.80342
10.321 1.79229
10.4902 1.80383
10.6594 1.76343
10.8286 1.77186
