# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
23.6496
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 8.32936
0.338392 2.44333
0.507588 1.4139
0.676785 0.682276
0.845981 0.414549
1.01518 0.262651
1.18437 0.1837
1.35357 0.145864
1.52277 0.11389
1.69196 0.0803878
1.86116 0.0654684
2.03035 0.0522148
2.19955 0.0413501
2.36875 0.0340895
2.53794 0.0303804
2.70714 0.0253634
2.87633 0.0206263
3.04553 0.0190355
3.21473 0.0159413
3.38392 0.0138633
3.55312 0.0113401
3.72231 0.0103167
3.89151 0.00921462
4.06071 0.00822222
4.2299 0.00742763
4.3991 0.00637622
4.5683 0.00591402
4.73749 0.00514956
4.90669 0.0046498
5.07588 0.00420076
5.24508 0.00386691
5.41428 0.0034679
5.58347 0.00309557
5.75267 0.00298481
5.92186 0.00293003
6.09106 0.0028823
6.26026 0.00308112
6.42945 0.00320609
6.59865 0.00354919
6.76785 0.00379717
6.93704 0.00447789
7.10624 0.00488338
7.27543 0.00561545
7.44463 0.00657851
7.61383 0.00795617
7.78302 0.00965936
7.95222 0.0123878
8.12141 0.0142972
8.29061 0.0195678
8.45981 0.0242373
8.629 0.0318253
8.7982 0.0396982
8.96739 0.0552687
9.13659 0.0681375
9.30579 0.0989135
9.47498 0.135162
9.64418 0.173603
9.81338 0.273526
9.98257 0.323592
10.1518 0.402976
10.321 0.563985
10.4902 1.01386
10.6594 0.801096
10.8286 0.296196
