# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
2.20683
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 542.024
0.338392 121.284
0.507588 98.2856
0.676785 56.2695
0.845981 42.1215
1.01518 32.4117
1.18437 27.0386
1.35357 21.3835
1.52277 19.1585
1.69196 16.6387
1.86116 15.8126
2.03035 13.3848
2.19955 13.2669
2.36875 11.5906
2.53794 11.1324
2.70714 10.6177
2.87633 9.47872
3.04553 8.84908
3.21473 8.40151
3.38392 8.07568
3.55312 7.72354
3.72231 7.01248
3.89151 6.72547
4.06071 6.39712
4.2299 6.16654
4.3991 5.80044
4.5683 5.514
4.73749 5.24269
4.90669 5.20983
5.07588 4.81514
5.24508 4.6825
5.41428 4.4395
5.58347 4.27514
5.75267 4.13849
5.92186 3.84743
6.09106 3.70056
6.26026 3.56545
6.42945 3.3088
6.59865 3.15566
6.76785 3.06491
6.93704 2.95583
7.10624 2.85768
7.27543 2.75908
7.44463 2.66047
7.61383 2.50332
7.78302 2.43556
7.95222 2.3236
8.12141 2.25424
8.29061 2.13867
8.45981 2.05907
8.629 1.99705
8.7982 1.92073
8.96739 1.87931
9.13659 1.81262
9.30579 1.75377
9.47498 1.69008
9.64418 1.63932
9.81338 1.60637
9.98257 1.56025
10.1518 1.53214
10.321 1.49678
10.4902 1.49489
10.6594 1.474
10.8286 1.44511
