# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
0.156669
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 3308.75
0.338392 1159
0.507588 781.206
0.676785 648.696
0.845981 453.464
1.01518 404.234
1.18437 306.55
1.35357 265.668
1.52277 255.141
1.69196 220.793
1.86116 212.933
2.03035 203.555
2.19955 180.756
2.36875 165.91
2.53794 156.595
2.70714 138.744
2.87633 127.256
3.04553 112.034
3.21473 105.755
3.38392 92.6444
3.55312 88.659
3.72231 81.0578
3.89151 73.8254
4.06071 69.137
4.2299 64.5303
4.3991 60.3566
4.5683 57.2912
4.73749 53.6535
4.90669 50.3157
5.07588 46.1052
5.24508 44.4348
5.41428 42.0732
5.58347 39.8852
5.75267 37.1607
5.92186 35.9127
6.09106 34.0552
6.26026 31.6971
6.42945 30.1225
6.59865 28.6822
6.76785 27.4493
6.93704 26.3978
7.10624 24.7605
7.27543 23.9538
7.44463 22.5751
7.61383 21.7376
7.78302 21.2511
7.95222 20.519
8.12141 19.3442
8.29061 18.6652
8.45981 18.3653
8.629 17.446
8.7982 16.7488
8.96739 16.1064
9.13659 15.4678
9.30579 14.5805
9.47498 14.4205
9.64418 13.8712
9.81338 13.6469
9.98257 13.3842
10.1518 13.0939
10.321 12.9508
10.4902 12.7574
10.6594 12.5678
10.8286 12.361
