# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
32.7347
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 4.42301
0.338392 1.31731
0.507588 0.751798
0.676785 0.361231
0.845981 0.221489
1.01518 0.140318
1.18437 0.0967999
1.35357 0.0767004
1.52277 0.0601157
1.69196 0.0421178
1.86116 0.0343942
2.03035 0.0275064
2.19955 0.0218314
2.36875 0.0181563
2.53794 0.0159024
2.70714 0.0134076
2.87633 0.010915
3.04553 0.0100596
3.21473 0.00845754
3.38392 0.00727123
3.55312 0.00598485
3.72231 0.00551908
3.89151 0.00493264
4.06071 0.00438546
4.2299 0.00395965
4.3991 0.00339677
4.5683 0.00316971
4.73749 0.00275866
4.90669 0.00250047
5.07588 0.0022761
5.24508 0.002093
5.41428 0.00182686
5.58347 0.00162476
5.75267 0.00156523
5.92186 0.00152893
6.09106 0.00151386
6.26026 0.00160711
6.42945 0.00165383
6.59865 0.00181354
6.76785 0.00198819
6.93704 0.00223669
7.10624 0.00248168
7.27543 0.00280284
7.44463 0.00336732
7.61383 0.0037872
7.78302 0.00477179
7.95222 0.00610028
8.12141 0.00737328
8.29061 0.0093189
8.45981 0.0119789
8.629 0.0161824
8.7982 0.020759
8.96739 0.0284513
9.13659 0.0335363
9.30579 0.0514295
9.47498 0.0716104
9.64418 0.104114
9.81338 0.173243
9.98257 0.212465
10.1518 0.308786
10.321 0.624406
10.4902 1.29615
10.6594 0.795501
10.8286 1.36911
